station_id,n_event_timestamps,total_departures,total_arrivals,annual_net_drift,min_relative_inventory,max_relative_inventory,initial_inventory_min,capacity_closed_form
6948.10,155433,79604,75846,-3758,-3758,29,3758,3787
6847.02,70521,37107,33418,-3689,-3700,5,3700,3705
6890.06,65215,34156,31060,-3096,-3103,10,3103,3113
5489.03,89364,43272,46097,2825,-36,2831,36,2867
6779.05,63088,32856,30233,-2623,-2631,22,2631,2653
5659.05,93095,45382,47724,2342,-130,2418,130,2548
6756.05,89124,45762,43366,-2396,-2406,1,2406,2407
6364.10,130275,66296,64004,-2292,-2339,7,2339,2346
6747.07,67024,34580,32447,-2133,-2139,36,2139,2175
6779.04,69234,35650,33591,-2059,-2069,22,2069,2091
5476.03,73284,37683,35601,-2082,-2084,0,2084,2084
6122.09,95204,48639,46583,-2056,-2066,1,2066,2067
5905.14,135885,67036,68874,1838,-21,1853,21,1874
6765.01,136996,67694,69366,1672,-24,1672,24,1696
6450.12,119326,59024,60324,1300,-300,1343,300,1643
6955.05,92465,47010,45462,-1548,-1554,5,1554,1559
5755.09,68918,33717,35208,1491,-4,1521,4,1525
5523.02,62123,30309,31815,1506,-8,1506,8,1514
5470.12,83251,42205,41049,-1156,-1267,244,1267,1511
6364.07,151360,76362,75008,-1354,-1379,111,1379,1490
6432.11,116750,59092,57669,-1423,-1450,9,1450,1459
5669.10,79197,38886,40316,1430,-1,1440,1,1441
6131.13,61156,31199,29960,-1239,-1263,20,1263,1283
6708.04,87137,44147,43005,-1142,-1150,35,1150,1185
6140.05,177887,88390,89522,1132,-20,1161,20,1181
5788.16,62759,30831,31932,1101,-12,1117,12,1129
5755.14,66959,33912,33049,-863,-916,187,916,1103
5779.11,84728,42892,41837,-1055,-1066,7,1066,1073
5329.03,183497,91305,92210,905,-15,998,15,1013
6747.06,73169,37072,36107,-965,-972,20,972,992
7014.12,74378,37672,36716,-956,-959,1,959,960
5971.09,58952,29941,29012,-929,-937,20,937,957
5125.03,78843,38959,39885,926,-24,931,24,955
7023.04,70175,35568,34637,-931,-944,4,944,948
6389.09,63226,32073,31156,-917,-917,24,917,941
6602.05,75550,37363,38193,830,-64,842,64,906
6345.08,80652,40773,39925,-848,-870,10,870,880
5779.10,64967,32065,32907,842,0,847,0,847
6756.01,99666,50198,49476,-722,-740,106,740,846
5721.14,65386,32304,33085,781,-14,789,14,803
7354.01,77069,38917,38163,-754,-782,3,782,785
7207.08,76971,38889,38120,-769,-780,4,780,784
5779.08,94505,47611,46899,-712,-739,30,739,769
6004.06,78357,38882,39482,600,-133,628,133,761
5342.10,67002,33184,33822,638,-102,654,102,756
5696.03,114788,57049,57753,704,-6,728,6,734
5712.03,75581,37434,38153,719,-1,732,1,733
7175.05,93420,47052,46374,-678,-696,1,696,697
6450.05,107501,53449,54056,607,-10,677,10,687
7311.02,76311,38490,37831,-659,-671,0,671,671
6046.02,82318,41493,40840,-653,-656,9,656,665
6535.04,67197,33308,33893,585,-1,642,1,643
6912.01,118182,59401,58805,-596,-603,34,603,637
6740.10,64333,32450,31890,-560,-561,69,561,630
6157.04,115467,57493,57999,506,-22,601,22,623
6676.02,67820,34211,33612,-599,-607,14,607,621
5348.02,97734,48570,49181,611,-4,615,4,619
5216.06,83113,41466,41653,187,-114,504,114,618
5779.09,65120,32623,32498,-125,-138,469,138,607
5294.04,71130,35859,35293,-566,-596,8,596,604
6560.15,78236,39411,38843,-568,-577,3,577,580
5805.07,62951,31210,31761,551,0,564,0,564
5679.08,83273,41367,41911,544,-11,552,11,563
5610.09,68113,33820,34295,475,-10,532,10,542
6382.05,67118,33332,33792,460,-16,520,16,536
7617.07,79293,39398,39901,503,-17,503,17,520
