node_idx,station_id,station_lat,station_lng,capacity_hat,initial_inventory_hat
0,3651.04,40.661064,-73.979454,121,3
1,4395.07,40.685066,-73.977905,210,19
2,5001.08,40.705692,-74.01678,123,11
3,5125.03,40.71045,-73.96088,955,24
4,5184.08,40.711445,-74.01485,157,30
5,5204.05,40.71286,-73.965904,379,9
6,5207.01,40.712734,-74.00461,332,40
7,5216.06,40.71222,-74.010475,618,114
8,5235.05,40.712605,-73.96265,276,56
9,5294.04,40.71421,-73.981094,604,596
10,5297.02,40.71534,-74.01659,231,76
11,5303.06,40.715595,-73.98703,219,125
12,5303.08,40.714275,-73.9899,371,18
13,5308.04,40.715347,-73.96024,340,6
14,5329.03,40.71755,-74.01322,1013,15
15,5342.10,40.716057,-73.991905,756,102
16,5348.02,40.71689,-73.963196,619,4
17,5374.01,40.717228,-73.98802,415,25
18,5379.10,40.717453,-73.95851,344,13
19,5382.06,40.718822,-73.99596,176,62
20,5382.07,40.717796,-73.993164,231,74
21,5414.06,40.720196,-73.989975,282,32
22,5445.02,40.720665,-73.985176,227,219
23,5470.12,40.720196,-74.0103,1511,1267
24,5476.03,40.720875,-73.98086,2084,2084
25,5484.09,40.722054,-73.98911,265,27
26,5489.03,40.720367,-73.96165,2867,36
27,5492.05,40.722103,-73.997246,203,15
28,5515.02,40.722176,-73.98369,160,150
29,5523.02,40.722294,-73.99148,1514,8
30,5553.10,40.723076,-73.98584,456,34
31,5561.04,40.72318,-73.9948,165,14
32,5561.06,40.72456,-73.99565,211,8
33,5593.01,40.723354,-73.98865,334,39
34,5593.04,40.72628,-73.98978,212,22
35,5610.09,40.72431,-74.00473,542,10
36,5626.07,40.72622,-73.983795,96,58
37,5626.15,40.72633,-73.98617,242,101
38,5636.11,40.727436,-73.99379,203,19
39,5653.12,40.72584,-74.00765,204,84
40,5659.05,40.72741,-73.98142,2548,130
41,5669.10,40.72842,-73.98714,1441,1
42,5679.08,40.726154,-73.9951,563,11
43,5687.04,40.727104,-74.00297,437,4
44,5696.03,40.727715,-74.0113,734,6
45,5712.03,40.729515,-73.99075,733,1
46,5721.01,40.730476,-73.99906,245,28
47,5721.07,40.7284,-73.99969,141,9
48,5721.14,40.72917,-73.9981,803,14
49,5730.08,40.728848,-74.00859,413,128
50,5736.09,40.729385,-73.97772,246,244
51,5746.02,40.72971,-73.986595,505,0
52,5746.14,40.729538,-73.98427,114,29
53,5755.01,40.72904,-73.99405,123,12
54,5755.09,40.730495,-73.99572,1525,4
55,5755.14,40.731438,-73.9949,1103,916
56,5763.03,40.730385,-74.00215,339,242
57,5779.08,40.73222,-73.98166,769,739
58,5779.09,40.729668,-73.98068,607,138
59,5779.10,40.73139,-73.982864,847,0
60,5779.11,40.730312,-73.98047,1073,1066
61,5788.13,40.730206,-73.99103,495,29
62,5788.15,40.732647,-73.99011,397,4
63,5788.16,40.73127,-73.98849,1129,12
64,5805.07,40.73214,-74.00364,564,0
65,5820.08,40.73154,-73.985306,208,17
66,5838.09,40.732243,-74.00027,412,223
67,5847.01,40.732914,-74.00711,272,40
68,5854.09,40.73381,-73.980545,309,278
69,5863.07,40.734234,-73.98692,224,201
70,5880.02,40.734013,-74.00294,240,19
71,5886.13,40.733208,-73.975685,133,53
72,5905.12,40.734547,-73.99074,389,376
73,5905.14,40.734814,-73.99209,1874,21
74,5914.03,40.735325,-73.998,80,33
75,5929.01,40.736504,-73.978096,106,27
76,5938.11,40.735367,-73.987976,245,42
77,5947.04,40.735443,-73.99431,174,172
78,5971.08,40.735878,-73.98205,380,225
79,5971.09,40.737167,-73.981224,957,937
80,5980.07,40.73705,-73.99009,514,22
81,5989.02,40.738045,-73.99643,194,58
