decision_ts,next_ts,effective_horizon,receiver_station_count,donor_station_count,requested_inbound_bikes,requested_outbound_bikes,matched_bikes,transfer_action_count,bike_km,infeasible_station_count
2022-10-21 11:00:00,2022-10-21 12:00:00,12,67,83,11724,8182,8182,146,16182.249244943261,0
2022-10-21 12:00:00,2022-10-21 13:00:00,12,6,8,3541,25,25,11,57.45390468835831,0
2022-10-21 13:00:00,2022-10-21 14:00:00,12,4,6,3517,10,10,7,20.697625041007996,0
2022-10-21 14:00:00,2022-10-21 15:00:00,12,4,5,3525,7,7,5,11.011379361152649,0
2022-10-21 15:00:00,2022-10-21 16:00:00,12,3,3,3508,9,9,4,9.926875829696655,0
2022-10-21 16:00:00,2022-10-21 17:00:00,12,3,2,3494,3,3,3,3.952836036682129,0
2022-10-21 17:00:00,2022-10-21 18:00:00,12,1,1,3455,1,1,1,1.5761008262634277,0
2022-10-21 18:00:00,2022-10-21 19:00:00,12,3,3,3436,6,6,3,10.893693208694458,0
2022-10-21 19:00:00,2022-10-21 20:00:00,12,4,4,3429,6,6,5,12.382891058921814,0
2022-10-21 20:00:00,2022-10-21 21:00:00,12,7,7,3432,15,15,10,33.02025642991066,0
2022-10-21 21:00:00,2022-10-21 22:00:00,12,3,4,3473,5,5,5,6.17156183719635,0
2022-10-21 22:00:00,2022-10-21 23:00:00,12,2,2,3510,2,2,2,3.8822785019874573,0
2022-10-21 23:00:00,2022-10-22 00:00:00,12,4,3,3554,4,4,4,4.909157782793045,0
2022-10-22 00:00:00,2022-10-22 01:00:00,12,5,5,3608,10,10,5,6.93471759557724,0
2022-10-22 01:00:00,2022-10-22 02:00:00,12,13,7,3625,45,45,19,65.44544768333435,0
2022-10-22 02:00:00,2022-10-22 03:00:00,12,9,7,3606,27,27,14,70.23678886890411,0
2022-10-22 03:00:00,2022-10-22 04:00:00,12,7,5,3590,12,12,10,24.5655397772789,0
2022-10-22 04:00:00,2022-10-22 05:00:00,12,5,4,3592,9,9,6,18.547531843185425,0
2022-10-22 05:00:00,2022-10-22 06:00:00,12,8,6,3592,25,25,11,44.28928482532501,0
2022-10-22 06:00:00,2022-10-22 07:00:00,12,5,6,3566,17,17,8,47.036648750305176,0
2022-10-22 07:00:00,2022-10-22 08:00:00,12,3,7,3550,15,15,8,57.82687020301819,0
2022-10-22 08:00:00,2022-10-22 09:00:00,12,2,5,3534,14,14,5,53.212257862091064,0
2022-10-22 09:00:00,2022-10-22 10:00:00,12,2,2,3514,2,2,2,3.6419243812561035,0
2022-10-22 10:00:00,2022-10-22 11:00:00,12,1,3,3508,6,6,3,27.666117191314697,0
2022-10-22 11:00:00,2022-10-22 12:00:00,12,4,3,3506,7,7,5,24.507863998413086,0
2022-10-22 12:00:00,2022-10-22 13:00:00,12,3,4,3501,6,6,5,20.612093448638916,0
2022-10-22 13:00:00,2022-10-22 14:00:00,12,2,2,3487,4,4,3,16.863677740097046,0
2022-10-22 14:00:00,2022-10-22 15:00:00,12,2,2,3483,2,2,2,7.286401748657227,0
2022-10-22 15:00:00,2022-10-22 16:00:00,12,4,4,3469,8,8,5,19.347004652023315,0
2022-10-22 16:00:00,2022-10-22 17:00:00,12,1,1,3450,4,4,1,6.5814642906188965,0
2022-10-22 17:00:00,2022-10-22 18:00:00,12,0,0,3430,0,0,0,0.0,0
2022-10-22 18:00:00,2022-10-22 19:00:00,12,2,1,3418,3,3,2,17.44482135772705,0
2022-10-22 19:00:00,2022-10-22 20:00:00,12,3,2,3412,7,7,3,17.10018742084503,0
2022-10-22 20:00:00,2022-10-22 21:00:00,12,5,6,3405,13,13,7,38.939390540122986,0
2022-10-22 21:00:00,2022-10-22 22:00:00,12,3,4,3401,5,5,4,20.964797258377075,0
2022-10-22 22:00:00,2022-10-22 23:00:00,12,1,2,3410,3,3,2,7.577498197555542,0
2022-10-22 23:00:00,2022-10-23 00:00:00,12,5,5,3440,16,16,7,49.15739959478378,0
2022-10-23 00:00:00,2022-10-23 01:00:00,12,4,5,3436,19,19,8,61.42610573768616,0
2022-10-23 01:00:00,2022-10-23 02:00:00,12,2,2,3439,5,5,3,17.762025594711304,0
2022-10-23 02:00:00,2022-10-23 03:00:00,12,1,4,3442,8,8,4,33.873263120651245,0
2022-10-23 03:00:00,2022-10-23 04:00:00,12,5,7,3450,26,26,9,74.30002173781395,0
2022-10-23 04:00:00,2022-10-23 05:00:00,12,6,5,3428,10,10,8,22.550047159194946,0
2022-10-23 05:00:00,2022-10-23 06:00:00,12,4,5,3429,7,7,6,8.46569250524044,0
2022-10-23 06:00:00,2022-10-23 07:00:00,12,3,4,3428,7,7,5,7.15512889623642,0
2022-10-23 07:00:00,2022-10-23 08:00:00,12,4,5,3426,19,19,8,65.92317199707031,0
2022-10-23 08:00:00,2022-10-23 09:00:00,12,4,5,3412,13,13,6,37.59317475557327,0
2022-10-23 09:00:00,2022-10-23 10:00:00,12,2,4,3398,8,8,4,22.727740049362183,0
2022-10-23 10:00:00,2022-10-23 11:00:00,12,1,2,3394,2,2,2,9.03270173072815,0
2022-10-23 11:00:00,2022-10-23 12:00:00,12,1,1,3389,1,1,1,1.0141799449920654,0
2022-10-23 12:00:00,2022-10-23 13:00:00,12,0,0,3386,0,0,0,0.0,0
2022-10-23 13:00:00,2022-10-23 14:00:00,12,2,2,3385,2,2,2,2.6050241589546204,0
2022-10-23 14:00:00,2022-10-23 15:00:00,12,0,0,3372,0,0,0,0.0,0
