head,input_step,relative_hour_to_decision,attention_weight
1,1,-11,0.05221549534896672
1,2,-10,0.053938510508841506
1,3,-9,0.059253190768894584
1,4,-8,0.06609229422281625
1,5,-7,0.07438987999783232
1,6,-6,0.08209142256521107
1,7,-5,0.08822367766435392
1,8,-4,0.09337281154749212
1,9,-3,0.0986497928710108
1,10,-2,0.10443521328987648
1,11,-1,0.11102864966387117
1,12,0,0.11630903814999101
2,1,-11,0.06856901598858717
2,2,-10,0.08851778671488576
2,3,-9,0.08600058056985085
2,4,-8,0.08155405930907558
2,5,-7,0.0799708468997735
2,6,-6,0.08104155008727175
2,7,-5,0.081847875601573
2,8,-4,0.08389827340177519
2,9,-3,0.0864233581828099
2,10,-2,0.08688727771619348
2,11,-1,0.08665085504891153
2,12,0,0.08863846595983048
3,1,-11,0.06846994757877291
3,2,-10,0.0847555552396562
3,3,-9,0.09237880884993521
3,4,-8,0.09481716804029178
3,5,-7,0.09129263221565036
3,6,-6,0.08086787173774117
3,7,-5,0.07277095952363409
3,8,-4,0.06983428795232373
3,9,-3,0.07184765572006094
3,10,-2,0.07802738266740038
3,11,-1,0.08850551074565514
3,12,0,0.1064322418696748
4,1,-11,0.07779920105665933
4,2,-10,0.07121156791148432
4,3,-9,0.0748021236317434
4,4,-8,0.07934880445659633
4,5,-7,0.08196823981268174
4,6,-6,0.07925726198259053
4,7,-5,0.07639031358015407
4,8,-4,0.07579233026270508
4,9,-3,0.07904357737350032
4,10,-2,0.08626749363427974
4,11,-1,0.09909922116295082
4,12,0,0.11901981509285361
