feature,group,importance
dep_rolling_168h,history,6.265437463210546e-06
station_lat,static_station,5.680046115659821e-06
arr_rolling_168h,history,5.59741154062766e-06
dep_rolling_24h,history,5.477393935858168e-06
station_lng,static_station,5.464755380494544e-06
month,time,5.356194511219077e-06
hour_cos,time,4.731483086690492e-06
arr_rolling_24h,history,4.251461932080541e-06
dep_classic_count,ride_type,3.7893684294036805e-06
arr_lag_24h,history,3.7669633800306603e-06
hour_sin,time,3.2589718073299917e-06
member_arr_count,ride_type,3.196799785015481e-06
wx_cloud_cover_pct,weather,2.6351422870938802e-06
dow_sin,time,2.545270801262727e-06
arr_electric_count,ride_type,2.5070626905666808e-06
member_dep_count,ride_type,2.4092514732365293e-06
arr_lag_1h,history,2.2136726558683795e-06
dep_lag_24h,history,2.1454343141930964e-06
dep_lag_168h,history,2.1246384792191582e-06
poi_food_density_per_km2_500m,poi,2.1238935024612197e-06
poi_office_count_500m,poi,2.072276348471726e-06
arr_count,flow_inventory,2.060546362178422e-06
dep_rolling_3h,history,2.0261426022428864e-06
dep_count,flow_inventory,1.950673831935456e-06
wx_wind_speed_10m_kmh,weather,1.889347424765816e-06
net_flow_rolling_3h,history,1.7266689111341864e-06
arr_lag_168h,history,1.6444655759847188e-06
net_flow_lag_1h,history,1.627234251598067e-06
dow_cos,time,1.6226621705753233e-06
arr_classic_count,ride_type,1.5877514612457019e-06
net_flow_lag_168h,history,1.5120828534251803e-06
hour,time,1.3962390170059606e-06
wx_relative_humidity_2m_pct,weather,1.3803823184989822e-06
poi_total_count_500m,poi,1.3614995577349758e-06
arr_lag_2h,history,1.3427823339334047e-06
day_of_week,time,1.330436662643889e-06
net_flow_lag_24h,history,1.3275777523976457e-06
net_flow_lag_2h,history,1.3192884123712924e-06
arr_rolling_3h,history,1.3035050392567144e-06
poi_food_count_500m,poi,1.2860993555686854e-06
dep_lag_2h,history,1.25517870558629e-06
poi_retail_nearest_m,poi,1.2317358283413923e-06
net_flow,flow_inventory,1.2205099019339036e-06
is_weekend,time,1.0810562669801944e-06
poi_retail_count_500m,poi,1.0806967813884448e-06
poi_healthcare_nearest_m,poi,1.0259436100134932e-06
wx_temperature_2m_c,weather,1.0016995808935842e-06
wx_wind_gusts_10m_kmh,weather,9.725433327792028e-07
wx_precipitation_mm,weather,9.539392063089724e-07
poi_transit_count_500m,poi,9.444266484390063e-07
initial_inventory_hat,flow_inventory,8.497856446710953e-07
wx_weather_code,weather,8.48937123537868e-07
dep_electric_count,ride_type,8.473994272151767e-07
poi_retail_density_per_km2_500m,poi,8.351017074802207e-07
capacity_hat,static_station,8.293178348062668e-07
poi_office_density_per_km2_500m,poi,8.281477377706033e-07
days_after_holiday_clipped,holiday,8.087409487508854e-07
poi_total_density_per_km2_500m,poi,8.047511695651074e-07
poi_healthcare_density_per_km2_500m,poi,7.892233036914133e-07
poi_transit_density_per_km2_500m,poi,7.867478905210504e-07
days_to_holiday_clipped,holiday,7.849784842004986e-07
wx_apparent_temperature_c,weather,7.644393759937489e-07
poi_education_count_500m,poi,7.633355728474686e-07
dep_lag_1h,history,7.52142370395818e-07
casual_arr_count,ride_type,7.520345631718253e-07
poi_office_nearest_m,poi,7.4429385067502e-07
poi_leisure_count_500m,poi,6.363789238321861e-07
poi_healthcare_count_500m,poi,6.261717523446411e-07
casual_dep_count,ride_type,6.087701392376555e-07
poi_education_density_per_km2_500m,poi,6.050181512011755e-07
wx_rain_mm,weather,5.89910038590794e-07
poi_transit_nearest_m,poi,5.484177105964811e-07
day_of_month,time,5.478698081906819e-07
poi_leisure_density_per_km2_500m,poi,5.309294506948949e-07
poi_food_nearest_m,poi,5.132587452634617e-07
poi_education_nearest_m,poi,4.792098619891826e-07
inventory_ratio_hat,flow_inventory,4.700891950518236e-07
inventory_hat,flow_inventory,4.0865354689077896e-07
is_holiday_eve,holiday,3.704816676620373e-07
net_flow_rolling_24h,history,2.929363324594845e-07
is_us_federal_holiday,holiday,2.523592040231033e-07
poi_leisure_nearest_m,poi,2.3943465051430014e-07
is_holiday_adjacent,holiday,2.2914032409619434e-07
dep_docked_count,ride_type,2.1858396981682848e-07
net_flow_rolling_168h,history,1.8889172341152127e-07
wx_snowfall_cm,weather,1.7198438925978685e-07
arr_docked_count,ride_type,1.5557315373937743e-07
is_us_federal_observed_holiday,holiday,1.5208812934967378e-07
