decision_ts,next_ts,effective_horizon,receiver_station_count,donor_station_count,requested_inbound_bikes,requested_outbound_bikes,matched_bikes,transfer_action_count,bike_km,infeasible_station_count
2022-10-19 15:00:00,2022-10-19 16:00:00,12,13,13,19851,15341,200,14,36.908006228506565,0
2022-10-19 16:00:00,2022-10-19 17:00:00,12,10,10,19455,14974,200,10,46.54551123082638,0
2022-10-19 17:00:00,2022-10-19 18:00:00,12,14,14,19448,14964,200,14,48.9328046515584,0
2022-10-19 18:00:00,2022-10-19 19:00:00,12,14,14,19218,14626,200,15,46.60415041446686,0
2022-10-19 19:00:00,2022-10-19 20:00:00,12,11,7,19098,14306,200,11,55.20491008460522,0
2022-10-19 20:00:00,2022-10-19 21:00:00,12,20,19,19224,14213,200,21,60.78833065927029,0
2022-10-19 21:00:00,2022-10-19 22:00:00,12,30,30,19178,14185,200,33,62.167600736021996,0
2022-10-19 22:00:00,2022-10-19 23:00:00,12,23,20,18974,14297,200,25,69.05191773921251,0
2022-10-19 23:00:00,2022-10-20 00:00:00,12,15,13,18929,14136,200,16,78.52435290813446,0
2022-10-20 00:00:00,2022-10-20 01:00:00,12,10,11,18720,13965,200,11,87.02537699043751,0
2022-10-20 01:00:00,2022-10-20 02:00:00,12,10,11,18518,13695,200,12,96.19376756250858,0
2022-10-20 02:00:00,2022-10-20 03:00:00,12,4,4,18300,13289,200,4,100.6180169582367,0
2022-10-20 03:00:00,2022-10-20 04:00:00,12,11,12,18144,13071,200,12,100.21353721618652,0
2022-10-20 04:00:00,2022-10-20 05:00:00,12,21,22,17973,12717,200,23,108.78040182590485,0
2022-10-20 05:00:00,2022-10-20 06:00:00,12,21,17,18023,12238,200,21,118.87604501843452,0
2022-10-20 06:00:00,2022-10-20 07:00:00,12,22,23,17705,12128,200,25,128.261645257473,0
2022-10-20 07:00:00,2022-10-20 08:00:00,12,27,27,17418,12283,200,28,130.4568472057581,0
2022-10-20 08:00:00,2022-10-20 09:00:00,12,27,25,17312,12690,200,30,112.06508383154869,0
2022-10-20 09:00:00,2022-10-20 10:00:00,12,29,23,17106,12639,200,31,113.19725321233273,0
2022-10-20 10:00:00,2022-10-20 11:00:00,12,24,19,17490,12152,200,25,138.30025750398636,0
2022-10-20 11:00:00,2022-10-20 12:00:00,12,20,19,17193,11952,200,25,165.95774123072624,0
2022-10-20 12:00:00,2022-10-20 13:00:00,12,20,21,17183,11766,200,24,176.35867232084274,0
2022-10-20 13:00:00,2022-10-20 14:00:00,12,27,30,16750,11679,200,36,185.90132808685303,0
2022-10-20 14:00:00,2022-10-20 15:00:00,12,17,22,16494,11446,200,24,203.9055730700493,0
2022-10-20 15:00:00,2022-10-20 16:00:00,12,17,21,16104,11232,200,21,206.73233368992805,0
2022-10-20 16:00:00,2022-10-20 17:00:00,12,19,25,15658,11033,200,26,218.01839450001717,0
2022-10-20 17:00:00,2022-10-20 18:00:00,12,18,30,15551,10963,200,31,220.35678008198738,0
2022-10-20 18:00:00,2022-10-20 19:00:00,12,24,29,15436,10857,200,32,222.309579372406,0
2022-10-20 19:00:00,2022-10-20 20:00:00,12,23,25,15353,10598,200,28,265.7613150179386,0
2022-10-20 20:00:00,2022-10-20 21:00:00,12,16,18,15319,10465,200,20,271.79930517077446,0
2022-10-20 21:00:00,2022-10-20 22:00:00,12,13,21,15196,10254,200,21,281.0378303527832,0
2022-10-20 22:00:00,2022-10-20 23:00:00,12,20,26,15111,10157,200,30,270.99030363559723,0
2022-10-20 23:00:00,2022-10-21 00:00:00,12,20,20,15031,10040,200,25,294.2904203236103,0
2022-10-21 00:00:00,2022-10-21 01:00:00,12,16,18,14830,9885,200,22,318.46566808223724,0
2022-10-21 01:00:00,2022-10-21 02:00:00,12,13,13,14656,9771,200,16,340.38052259385586,0
2022-10-21 02:00:00,2022-10-21 03:00:00,12,11,16,14402,9461,200,16,354.84239876270294,0
2022-10-21 03:00:00,2022-10-21 04:00:00,12,7,12,14182,9290,200,13,360.3502475619316,0
2022-10-21 04:00:00,2022-10-21 05:00:00,12,6,11,14028,9040,200,12,376.89230382442474,0
2022-10-21 05:00:00,2022-10-21 06:00:00,12,17,18,13958,8665,200,23,409.43592596054077,0
2022-10-21 06:00:00,2022-10-21 07:00:00,12,12,23,13542,8665,200,27,430.4872055351734,0
2022-10-21 07:00:00,2022-10-21 08:00:00,12,20,24,13345,8688,200,31,433.2575136721134,0
2022-10-21 08:00:00,2022-10-21 09:00:00,12,19,22,13080,8733,200,27,446.3792553246021,0
2022-10-21 09:00:00,2022-10-21 10:00:00,12,18,26,12934,8587,200,30,460.86625242233276,0
2022-10-21 10:00:00,2022-10-21 11:00:00,12,20,23,13065,8300,200,27,475.6723646968603,0
2022-10-21 11:00:00,2022-10-21 12:00:00,12,13,15,12857,8053,200,18,511.6468702554703,0
2022-10-21 12:00:00,2022-10-21 13:00:00,12,12,17,12686,7972,200,19,519.530419588089,0
2022-10-21 13:00:00,2022-10-21 14:00:00,12,16,22,12471,7905,200,25,508.6128460764885,0
2022-10-21 14:00:00,2022-10-21 15:00:00,12,17,26,12362,7599,200,30,522.8913348317146,0
2022-10-21 15:00:00,2022-10-21 16:00:00,12,14,25,12018,7426,200,26,544.8959487080574,0
2022-10-21 16:00:00,2022-10-21 17:00:00,12,17,24,11788,7279,200,30,540.2931268811226,0
2022-10-21 17:00:00,2022-10-21 18:00:00,12,14,34,11482,7208,200,36,544.4323207736015,0
2022-10-21 18:00:00,2022-10-21 19:00:00,12,21,30,11220,7114,200,37,515.7602702379227,0
2022-10-21 19:00:00,2022-10-21 20:00:00,12,14,18,11030,6955,200,22,589.7970072627068,0
2022-10-21 20:00:00,2022-10-21 21:00:00,12,11,21,10824,6777,200,25,587.9662718176842,0
2022-10-21 21:00:00,2022-10-21 22:00:00,12,7,13,10667,6588,200,16,622.5943745970726,0
2022-10-21 22:00:00,2022-10-21 23:00:00,12,7,16,10549,6448,200,19,641.7966215610504,0
2022-10-21 23:00:00,2022-10-22 00:00:00,12,15,21,10493,6269,200,25,640.6354187130928,0
2022-10-22 00:00:00,2022-10-22 01:00:00,12,16,19,10424,6028,200,23,644.7231695055962,0
2022-10-22 01:00:00,2022-10-22 02:00:00,12,16,17,10303,5906,200,21,664.8808133900166,0
2022-10-22 02:00:00,2022-10-22 03:00:00,12,17,20,10208,5803,200,27,672.6068716049194,0
2022-10-22 03:00:00,2022-10-22 04:00:00,12,21,23,10020,5614,200,30,704.9690655469894,0
2022-10-22 04:00:00,2022-10-22 05:00:00,12,11,11,9813,5323,200,14,734.1670159101486,0
2022-10-22 05:00:00,2022-10-22 06:00:00,12,15,14,9610,5197,200,21,730.3828786611557,0
2022-10-22 06:00:00,2022-10-22 07:00:00,12,16,13,9475,4985,200,21,738.3151596784592,0
2022-10-22 07:00:00,2022-10-22 08:00:00,12,11,12,9280,4805,200,13,735.7208850979805,0
2022-10-22 08:00:00,2022-10-22 09:00:00,12,15,22,8935,4752,200,24,668.8720615506172,0
2022-10-22 09:00:00,2022-10-22 10:00:00,12,14,30,8709,4835,200,32,636.6581112146378,0
2022-10-22 10:00:00,2022-10-22 11:00:00,12,18,28,8679,4607,200,33,677.192002594471,0
2022-10-22 11:00:00,2022-10-22 12:00:00,12,17,29,8694,4318,200,34,725.2940693050623,0
2022-10-22 12:00:00,2022-10-22 13:00:00,12,15,20,8549,4168,200,25,729.2957580983639,0
2022-10-22 13:00:00,2022-10-22 14:00:00,12,23,28,8389,4163,200,37,602.1878007650375,0
2022-10-22 14:00:00,2022-10-22 15:00:00,12,20,24,8251,4065,200,33,779.1880500912666,0
2022-10-22 15:00:00,2022-10-22 16:00:00,12,13,20,7967,3895,200,23,839.7819679677486,0
2022-10-22 16:00:00,2022-10-22 17:00:00,12,12,20,7736,3743,200,26,835.8848553299904,0
2022-10-22 17:00:00,2022-10-22 18:00:00,12,12,21,7503,3642,200,26,897.9652361869812,0
2022-10-22 18:00:00,2022-10-22 19:00:00,12,9,15,7166,3485,200,17,948.1047259569168,0
2022-10-22 19:00:00,2022-10-22 20:00:00,12,12,12,6961,3281,200,18,975.89575278759,0
2022-10-22 20:00:00,2022-10-22 21:00:00,12,7,11,6759,3114,200,15,1011.6067581176758,0
2022-10-22 21:00:00,2022-10-22 22:00:00,12,8,14,6602,2917,200,17,1031.0825003385544,0
2022-10-22 22:00:00,2022-10-22 23:00:00,12,11,12,6521,2691,200,18,1060.7858715057373,0
2022-10-22 23:00:00,2022-10-23 00:00:00,12,9,16,6390,2563,200,19,1091.278347492218,0
2022-10-23 00:00:00,2022-10-23 01:00:00,12,21,16,6323,2355,200,30,1099.1100761890411,0
2022-10-23 01:00:00,2022-10-23 02:00:00,12,17,25,6177,2211,200,31,1143.8480001091957,0
2022-10-23 02:00:00,2022-10-23 03:00:00,12,17,18,6009,2067,200,26,1218.7837401628494,0
2022-10-23 03:00:00,2022-10-23 04:00:00,12,11,17,5860,1876,200,21,1225.2869981527328,0
2022-10-23 04:00:00,2022-10-23 05:00:00,12,9,10,5636,1654,200,16,1323.454847842455,0
2022-10-23 05:00:00,2022-10-23 06:00:00,12,15,11,5480,1469,200,20,1317.6731501817703,0
2022-10-23 06:00:00,2022-10-23 07:00:00,12,7,19,5267,1300,200,19,1318.1925022602081,0
2022-10-23 07:00:00,2022-10-23 08:00:00,12,6,24,5011,1142,200,27,1326.0440039932728,0
2022-10-23 08:00:00,2022-10-23 09:00:00,12,5,26,4775,1008,200,27,1322.4583705961704,0
2022-10-23 09:00:00,2022-10-23 10:00:00,12,7,54,4532,942,200,54,1257.265006840229,0
2022-10-23 10:00:00,2022-10-23 11:00:00,12,9,59,4325,927,200,62,1133.8018856048584,0
