decision_ts,next_ts,effective_horizon,receiver_station_count,donor_station_count,requested_inbound_bikes,requested_outbound_bikes,matched_bikes,transfer_action_count,bike_km,infeasible_station_count
2022-10-19 15:00:00,2022-10-19 16:00:00,12,200,349,20958,16202,16202,533,47618.62465583533,0
2022-10-19 16:00:00,2022-10-19 17:00:00,12,2,3,4717,4,4,3,14.224669694900513,0
2022-10-19 17:00:00,2022-10-19 18:00:00,12,4,4,4662,4,4,4,11.847018599510193,0
2022-10-19 18:00:00,2022-10-19 19:00:00,12,8,12,4639,25,25,12,78.1926474571228,0
2022-10-19 19:00:00,2022-10-19 20:00:00,12,15,15,4672,56,56,23,218.09858706593513,0
2022-10-19 20:00:00,2022-10-19 21:00:00,12,34,38,4825,129,129,60,354.5603454709053,0
2022-10-19 21:00:00,2022-10-19 22:00:00,12,26,46,4821,201,201,64,687.1913721039891,0
2022-10-19 22:00:00,2022-10-19 23:00:00,12,19,32,4698,88,88,40,283.61729122698307,0
2022-10-19 23:00:00,2022-10-20 00:00:00,12,21,30,4672,64,64,35,194.4315286874771,0
2022-10-20 00:00:00,2022-10-20 01:00:00,12,12,16,4656,39,39,20,124.77760827541351,0
2022-10-20 01:00:00,2022-10-20 02:00:00,12,11,9,4656,16,16,12,33.446643978357315,0
2022-10-20 02:00:00,2022-10-20 03:00:00,12,14,15,4659,35,35,20,87.11701655387878,0
2022-10-20 03:00:00,2022-10-20 04:00:00,12,14,11,4650,29,29,17,62.87825572490692,0
2022-10-20 04:00:00,2022-10-20 05:00:00,12,7,6,4652,9,9,8,26.545110166072845,0
2022-10-20 05:00:00,2022-10-20 06:00:00,12,14,16,4686,40,40,19,91.24000763893127,0
2022-10-20 06:00:00,2022-10-20 07:00:00,12,23,33,4662,92,92,42,317.3269180059433,0
2022-10-20 07:00:00,2022-10-20 08:00:00,12,15,27,4590,72,72,33,370.21200504899025,0
2022-10-20 08:00:00,2022-10-20 09:00:00,12,13,24,4531,65,65,27,344.7333584576845,0
2022-10-20 09:00:00,2022-10-20 10:00:00,12,11,26,4474,41,41,27,222.0139555335045,0
2022-10-20 10:00:00,2022-10-20 11:00:00,12,13,22,4436,45,45,25,186.3166891336441,0
2022-10-20 11:00:00,2022-10-20 12:00:00,12,7,13,4411,28,28,15,81.19171160459518,0
2022-10-20 12:00:00,2022-10-20 13:00:00,12,5,10,4396,16,16,11,65.05676054954529,0
2022-10-20 13:00:00,2022-10-20 14:00:00,12,11,12,4381,17,17,14,82.96434277296066,0
