decision_ts,next_ts,effective_horizon,receiver_station_count,donor_station_count,requested_inbound_bikes,requested_outbound_bikes,matched_bikes,transfer_action_count,bike_km,infeasible_station_count
2022-10-19 15:00:00,2022-10-19 16:00:00,12,15,15,20958,16202,200,15,29.680761359632015,0
2022-10-19 16:00:00,2022-10-19 17:00:00,12,7,7,20602,15765,200,7,44.58282187581062,0
2022-10-19 17:00:00,2022-10-19 18:00:00,12,9,10,20170,15333,200,10,46.818340346217155,0
2022-10-19 18:00:00,2022-10-19 19:00:00,12,11,10,19781,14960,200,11,51.692273050546646,0
2022-10-19 19:00:00,2022-10-19 20:00:00,12,11,8,19606,14719,200,11,55.17010349035263,0
2022-10-19 20:00:00,2022-10-19 21:00:00,12,18,17,19806,14843,200,18,56.24205945432186,0
2022-10-19 21:00:00,2022-10-19 22:00:00,12,21,20,19828,15050,200,21,56.69506997615099,0
2022-10-19 22:00:00,2022-10-19 23:00:00,12,27,25,19764,14927,200,29,65.51529885828495,0
2022-10-19 23:00:00,2022-10-20 00:00:00,12,9,7,19645,14773,200,9,78.77626994252205,0
2022-10-20 00:00:00,2022-10-20 01:00:00,12,13,11,19503,14607,200,13,82.9640869051218,0
2022-10-20 01:00:00,2022-10-20 02:00:00,12,14,14,19355,14433,200,14,87.4971231520176,0
2022-10-20 02:00:00,2022-10-20 03:00:00,12,11,11,19189,14283,200,11,97.25662344694138,0
2022-10-20 03:00:00,2022-10-20 04:00:00,12,5,5,19016,14126,200,5,100.46001499891281,0
2022-10-20 04:00:00,2022-10-20 05:00:00,12,13,13,18844,13937,200,15,102.11062842607498,0
2022-10-20 05:00:00,2022-10-20 06:00:00,12,18,20,18668,13786,200,20,108.28350265324116,0
2022-10-20 06:00:00,2022-10-20 07:00:00,12,16,16,18466,13672,200,18,115.12044598162174,0
2022-10-20 07:00:00,2022-10-20 08:00:00,12,13,16,18292,13512,200,17,129.46223956346512,0
2022-10-20 08:00:00,2022-10-20 09:00:00,12,14,15,18108,13352,200,16,142.69863641262054,0
2022-10-20 09:00:00,2022-10-20 10:00:00,12,12,13,17911,13199,200,16,153.541726693511,0
2022-10-20 10:00:00,2022-10-20 11:00:00,12,9,12,17706,13050,200,12,158.91742610931396,0
2022-10-20 11:00:00,2022-10-20 12:00:00,12,12,13,17522,12887,200,13,169.48579642176628,0
2022-10-20 12:00:00,2022-10-20 13:00:00,12,15,18,17328,12697,200,20,183.26747919619083,0
2022-10-20 13:00:00,2022-10-20 14:00:00,12,15,15,17122,12480,200,18,198.67277885973454,0
2022-10-20 14:00:00,2022-10-20 15:00:00,12,8,8,16896,12241,200,9,215.59823924303055,0
2022-10-20 15:00:00,2022-10-20 16:00:00,12,9,10,16658,11937,200,10,222.87583553791046,0
2022-10-20 16:00:00,2022-10-20 17:00:00,12,12,13,16363,11611,200,13,239.54259084165096,0
2022-10-20 17:00:00,2022-10-20 18:00:00,12,11,11,16051,11217,200,12,254.05947881937027,0
2022-10-20 18:00:00,2022-10-20 19:00:00,12,11,14,15710,10900,200,14,278.25812315940857,0
2022-10-20 19:00:00,2022-10-20 20:00:00,12,16,14,15542,10702,200,17,279.2119068801403,0
2022-10-20 20:00:00,2022-10-20 21:00:00,12,14,18,15450,10593,200,21,286.7404347360134,0
2022-10-20 21:00:00,2022-10-20 22:00:00,12,12,12,15336,10497,200,13,318.8540598154068,0
2022-10-20 22:00:00,2022-10-20 23:00:00,12,14,13,15199,10399,200,18,321.56836396455765,0
2022-10-20 23:00:00,2022-10-21 00:00:00,12,12,15,15049,10249,200,17,339.6179109811783,0
2022-10-21 00:00:00,2022-10-21 01:00:00,12,11,15,14877,10127,200,17,345.25999769568443,0
2022-10-21 01:00:00,2022-10-21 02:00:00,12,6,7,14716,9976,200,8,359.78010988235474,0
2022-10-21 02:00:00,2022-10-21 03:00:00,12,12,15,14556,9815,200,19,363.4493904709816,0
2022-10-21 03:00:00,2022-10-21 04:00:00,12,9,14,14381,9647,200,16,383.05851697921753,0
2022-10-21 04:00:00,2022-10-21 05:00:00,12,14,19,14208,9478,200,22,409.4420662522316,0
2022-10-21 05:00:00,2022-10-21 06:00:00,12,14,26,14052,9353,200,27,412.0379496216774,0
2022-10-21 06:00:00,2022-10-21 07:00:00,12,22,25,13873,9218,200,36,404.18722426891327,0
2022-10-21 07:00:00,2022-10-21 08:00:00,12,16,29,13681,9125,200,32,447.1728622317314,0
2022-10-21 08:00:00,2022-10-21 09:00:00,12,13,21,13496,8989,200,23,473.5352309346199,0
2022-10-21 09:00:00,2022-10-21 10:00:00,12,11,18,13298,8815,200,19,500.48184233903885,0
2022-10-21 10:00:00,2022-10-21 11:00:00,12,7,12,13103,8631,200,13,509.55540442466736,0
2022-10-21 11:00:00,2022-10-21 12:00:00,12,11,17,12908,8438,200,18,517.6839236617088,0
2022-10-21 12:00:00,2022-10-21 13:00:00,12,9,16,12689,8265,200,16,517.5763414502144,0
2022-10-21 13:00:00,2022-10-21 14:00:00,12,10,15,12486,8056,200,15,558.9449973702431,0
2022-10-21 14:00:00,2022-10-21 15:00:00,12,13,17,12290,7841,200,19,568.7764910161495,0
2022-10-21 15:00:00,2022-10-21 16:00:00,12,7,10,12055,7611,200,10,596.8402738571167,0
2022-10-21 16:00:00,2022-10-21 17:00:00,12,4,8,11828,7363,200,8,610.1807940006256,0
2022-10-21 17:00:00,2022-10-21 18:00:00,12,3,4,11525,7065,200,4,616.8286610245705,0
2022-10-21 18:00:00,2022-10-21 19:00:00,12,3,6,11287,6818,200,6,638.1664056777954,0
2022-10-21 19:00:00,2022-10-21 20:00:00,12,7,9,11052,6596,200,10,639.7388427257538,0
2022-10-21 20:00:00,2022-10-21 21:00:00,12,10,10,10866,6410,200,13,628.1743972301483,0
2022-10-21 21:00:00,2022-10-21 22:00:00,12,14,16,10733,6233,200,21,660.9165569543839,0
2022-10-21 22:00:00,2022-10-21 23:00:00,12,10,10,10606,6054,200,13,655.5506197810173,0
2022-10-21 23:00:00,2022-10-22 00:00:00,12,17,18,10550,5924,200,23,641.3725619763136,0
2022-10-22 00:00:00,2022-10-22 01:00:00,12,17,18,10450,5801,200,22,653.9865571856499,0
2022-10-22 01:00:00,2022-10-22 02:00:00,12,17,25,10329,5732,200,28,545.429985165596,0
2022-10-22 02:00:00,2022-10-22 03:00:00,12,20,19,10192,5596,200,27,684.8747376799583,0
2022-10-22 03:00:00,2022-10-22 04:00:00,12,12,14,10011,5447,200,15,703.8766675293446,0
2022-10-22 04:00:00,2022-10-22 05:00:00,12,13,15,9835,5323,200,20,716.8871736526489,0
2022-10-22 05:00:00,2022-10-22 06:00:00,12,16,15,9663,5176,200,20,722.0068951845169,0
2022-10-22 06:00:00,2022-10-22 07:00:00,12,7,13,9466,5031,200,14,741.4643568992615,0
2022-10-22 07:00:00,2022-10-22 08:00:00,12,6,9,9276,4855,200,9,763.1977132558823,0
2022-10-22 08:00:00,2022-10-22 09:00:00,12,8,16,9081,4690,200,19,769.0495190620422,0
2022-10-22 09:00:00,2022-10-22 10:00:00,12,6,9,8891,4516,200,11,802.3906763792038,0
2022-10-22 10:00:00,2022-10-22 11:00:00,12,6,10,8702,4324,200,13,812.6950123310089,0
2022-10-22 11:00:00,2022-10-22 12:00:00,12,8,11,8506,4134,200,15,829.1612759828568,0
2022-10-22 12:00:00,2022-10-22 13:00:00,12,8,8,8310,3946,200,13,880.8209129571915,0
2022-10-22 13:00:00,2022-10-22 14:00:00,12,6,10,8114,3756,200,14,921.6692407131195,0
2022-10-22 14:00:00,2022-10-22 15:00:00,12,10,8,7909,3549,200,12,963.9118615984917,0
2022-10-22 15:00:00,2022-10-22 16:00:00,12,5,9,7687,3346,200,9,974.9481333494186,0
2022-10-22 16:00:00,2022-10-22 17:00:00,12,6,6,7465,3139,200,8,984.4944982528687,0
2022-10-22 17:00:00,2022-10-22 18:00:00,12,9,9,7238,2924,200,13,1035.6595482826233,0
2022-10-22 18:00:00,2022-10-22 19:00:00,12,9,8,7004,2709,200,12,1080.219643354416,0
2022-10-22 19:00:00,2022-10-22 20:00:00,12,6,11,6790,2493,200,12,1094.882871299982,0
2022-10-22 20:00:00,2022-10-22 21:00:00,12,9,12,6576,2301,200,16,1158.3778022527695,0
2022-10-22 21:00:00,2022-10-22 22:00:00,12,9,13,6395,2091,200,14,1230.424410521984,0
2022-10-22 22:00:00,2022-10-22 23:00:00,12,8,10,6222,1907,200,11,1255.8268684148788,0
2022-10-22 23:00:00,2022-10-23 00:00:00,12,14,20,6097,1752,200,27,1224.480931520462,0
2022-10-23 00:00:00,2022-10-23 01:00:00,12,13,18,5923,1595,200,20,1262.944286763668,0
2022-10-23 01:00:00,2022-10-23 02:00:00,12,13,18,5760,1423,200,21,1325.01436150074,0
2022-10-23 02:00:00,2022-10-23 03:00:00,12,12,12,5591,1236,200,17,1334.4543027877808,0
2022-10-23 03:00:00,2022-10-23 04:00:00,12,13,24,5420,1078,200,27,1301.2296209931374,0
2022-10-23 04:00:00,2022-10-23 05:00:00,12,10,20,5242,907,200,23,1352.3431803286076,0
2022-10-23 05:00:00,2022-10-23 06:00:00,12,3,18,5047,725,200,19,1613.5662138462067,0
2022-10-23 06:00:00,2022-10-23 07:00:00,12,8,15,4860,539,200,16,1679.51086717844,0
2022-10-23 07:00:00,2022-10-23 08:00:00,12,12,17,4670,355,200,24,1819.0604086518288,0
2022-10-23 08:00:00,2022-10-23 09:00:00,12,13,20,4473,178,178,27,1793.6924139261246,0
2022-10-23 09:00:00,2022-10-23 10:00:00,12,7,7,4294,12,12,9,58.15666913986206,0
2022-10-23 10:00:00,2022-10-23 11:00:00,12,3,5,4294,5,5,5,30.220232725143433,0
2022-10-23 11:00:00,2022-10-23 12:00:00,12,5,6,4285,6,6,6,39.90474355220795,0
2022-10-23 12:00:00,2022-10-23 13:00:00,12,3,3,4269,3,3,3,9.394619584083557,0
2022-10-23 13:00:00,2022-10-23 14:00:00,12,5,6,4260,6,6,6,22.54400396347046,0
2022-10-23 14:00:00,2022-10-23 15:00:00,12,2,2,4229,2,2,2,11.937474727630615,0
2022-10-23 15:00:00,2022-10-23 16:00:00,12,0,0,4217,0,0,0,0.0,0
2022-10-23 16:00:00,2022-10-23 17:00:00,12,0,0,4203,0,0,0,0.0,0
2022-10-23 17:00:00,2022-10-23 18:00:00,12,3,3,4196,3,3,3,8.722566604614258,0
2022-10-23 18:00:00,2022-10-23 19:00:00,12,3,2,4184,3,3,3,19.240487575531006,0
2022-10-23 19:00:00,2022-10-23 20:00:00,12,13,10,4216,28,28,17,144.44026798009872,0
2022-10-23 20:00:00,2022-10-23 21:00:00,12,17,16,4261,68,68,25,352.4736834168434,0
2022-10-23 21:00:00,2022-10-23 22:00:00,12,11,24,4258,61,61,27,358.2470066547394,0
2022-10-23 22:00:00,2022-10-23 23:00:00,12,8,20,4248,47,47,24,235.73184299468994,0
2022-10-23 23:00:00,2022-10-24 00:00:00,12,8,11,4220,26,26,14,123.71115612983704,0
2022-10-24 00:00:00,2022-10-24 01:00:00,12,8,9,4207,14,14,11,69.3473414182663,0
2022-10-24 01:00:00,2022-10-24 02:00:00,12,9,8,4218,13,13,11,43.486079454422,0
2022-10-24 02:00:00,2022-10-24 03:00:00,12,6,6,4220,8,8,8,39.64514482021332,0
2022-10-24 03:00:00,2022-10-24 04:00:00,12,7,11,4229,13,13,12,45.76138252019882,0
2022-10-24 04:00:00,2022-10-24 05:00:00,12,7,10,4243,17,17,12,62.82312202453613,0
2022-10-24 05:00:00,2022-10-24 06:00:00,12,8,7,4258,20,20,10,40.30640718340874,0
2022-10-24 06:00:00,2022-10-24 07:00:00,12,9,14,4276,25,25,17,72.60997462272644,0
2022-10-24 07:00:00,2022-10-24 08:00:00,12,7,10,4296,14,14,13,35.06937122344971,0
2022-10-24 08:00:00,2022-10-24 09:00:00,12,7,9,4304,16,16,11,31.234635204076767,0
2022-10-24 09:00:00,2022-10-24 10:00:00,12,5,6,4299,10,10,8,35.46637588739395,0
2022-10-24 10:00:00,2022-10-24 11:00:00,12,5,6,4310,6,6,6,32.28050971031189,0
2022-10-24 11:00:00,2022-10-24 12:00:00,12,1,1,4301,1,1,1,2.128849983215332,0
2022-10-24 12:00:00,2022-10-24 13:00:00,12,1,1,4306,1,1,1,2.2888989448547363,0
2022-10-24 13:00:00,2022-10-24 14:00:00,12,3,3,4309,4,4,3,17.08305597305298,0
2022-10-24 14:00:00,2022-10-24 15:00:00,12,0,0,4296,0,0,0,0.0,0
2022-10-24 15:00:00,2022-10-24 16:00:00,12,0,0,4280,0,0,0,0.0,0
2022-10-24 16:00:00,2022-10-24 17:00:00,12,0,0,4256,0,0,0,0.0,0
2022-10-24 17:00:00,2022-10-24 18:00:00,12,2,3,4198,5,5,3,19.668147325515747,0
2022-10-24 18:00:00,2022-10-24 19:00:00,12,4,3,4185,9,9,4,22.059306144714355,0
2022-10-24 19:00:00,2022-10-24 20:00:00,12,3,3,4222,4,4,4,5.436853587627411,0
2022-10-24 20:00:00,2022-10-24 21:00:00,12,14,14,4416,53,53,23,210.75788766145706,0
2022-10-24 21:00:00,2022-10-24 22:00:00,12,18,28,4397,75,75,35,325.01372051239014,0
2022-10-24 22:00:00,2022-10-24 23:00:00,12,13,19,4345,46,46,24,182.61488872766495,0
2022-10-24 23:00:00,2022-10-25 00:00:00,12,8,13,4321,18,18,14,90.5050357580185,0
2022-10-25 00:00:00,2022-10-25 01:00:00,12,6,10,4336,24,24,12,89.7084572315216,0
2022-10-25 01:00:00,2022-10-25 02:00:00,12,9,9,4334,18,18,11,64.08687686920166,0
2022-10-25 02:00:00,2022-10-25 03:00:00,12,5,8,4321,10,10,8,31.77249038219452,0
2022-10-25 03:00:00,2022-10-25 04:00:00,12,8,7,4315,23,23,10,119.94027209281921,0
2022-10-25 04:00:00,2022-10-25 05:00:00,12,8,9,4328,15,15,10,37.403035283088684,0
2022-10-25 05:00:00,2022-10-25 06:00:00,12,9,9,4358,39,39,14,97.27672564983368,0
2022-10-25 06:00:00,2022-10-25 07:00:00,12,10,16,4371,29,29,17,92.34132170677185,0
2022-10-25 07:00:00,2022-10-25 08:00:00,12,12,19,4366,42,42,24,153.34424996376038,0
2022-10-25 08:00:00,2022-10-25 09:00:00,12,8,17,4362,29,29,20,183.32490062713623,0
2022-10-25 09:00:00,2022-10-25 10:00:00,12,7,12,4362,23,23,14,122.76443231105804,0
2022-10-25 10:00:00,2022-10-25 11:00:00,12,9,8,4344,14,14,11,66.70908772945404,0
2022-10-25 11:00:00,2022-10-25 12:00:00,12,5,9,4331,14,14,10,88.65179061889648,0
2022-10-25 12:00:00,2022-10-25 13:00:00,12,7,8,4314,13,13,10,59.38218295574188,0
