decision_ts,next_ts,effective_horizon,receiver_station_count,donor_station_count,requested_inbound_bikes,requested_outbound_bikes,matched_bikes,transfer_action_count,bike_km,infeasible_station_count
2022-10-19 15:00:00,2022-10-19 16:00:00,12,13,13,19851,15341,200,14,36.908006228506565,0
2022-10-19 16:00:00,2022-10-19 17:00:00,12,10,10,19455,14974,200,10,46.54551123082638,0
2022-10-19 17:00:00,2022-10-19 18:00:00,12,14,14,19448,14964,200,14,48.9328046515584,0
2022-10-19 18:00:00,2022-10-19 19:00:00,12,14,14,19218,14626,200,15,46.60415041446686,0
2022-10-19 19:00:00,2022-10-19 20:00:00,12,11,7,19098,14306,200,11,55.20491008460522,0
2022-10-19 20:00:00,2022-10-19 21:00:00,12,20,19,19224,14213,200,21,60.78833065927029,0
2022-10-19 21:00:00,2022-10-19 22:00:00,12,30,30,19178,14185,200,33,62.167600736021996,0
2022-10-19 22:00:00,2022-10-19 23:00:00,12,23,20,18974,14297,200,25,69.05191773921251,0
2022-10-19 23:00:00,2022-10-20 00:00:00,12,15,13,18929,14136,200,16,78.52435290813446,0
2022-10-20 00:00:00,2022-10-20 01:00:00,12,10,11,18720,13965,200,11,87.02537699043751,0
2022-10-20 01:00:00,2022-10-20 02:00:00,12,10,11,18518,13695,200,12,96.19376756250858,0
2022-10-20 02:00:00,2022-10-20 03:00:00,12,4,4,18300,13289,200,4,100.6180169582367,0
2022-10-20 03:00:00,2022-10-20 04:00:00,12,11,12,18144,13071,200,12,100.21353721618652,0
2022-10-20 04:00:00,2022-10-20 05:00:00,12,21,22,17973,12717,200,23,108.78040182590485,0
2022-10-20 05:00:00,2022-10-20 06:00:00,12,21,17,18023,12238,200,21,118.87604501843452,0
2022-10-20 06:00:00,2022-10-20 07:00:00,12,22,23,17705,12128,200,25,128.261645257473,0
2022-10-20 07:00:00,2022-10-20 08:00:00,12,27,27,17418,12283,200,29,130.23021179437637,0
2022-10-20 08:00:00,2022-10-20 09:00:00,12,28,25,17312,12690,200,30,112.00161346793175,0
2022-10-20 09:00:00,2022-10-20 10:00:00,12,29,23,17106,12639,200,31,113.17067466676235,0
2022-10-20 10:00:00,2022-10-20 11:00:00,12,24,19,17490,12152,200,25,138.30025750398636,0
2022-10-20 11:00:00,2022-10-20 12:00:00,12,20,19,17193,11952,200,25,165.76978406310081,0
2022-10-20 12:00:00,2022-10-20 13:00:00,12,20,21,17183,11766,200,24,176.3334237933159,0
2022-10-20 13:00:00,2022-10-20 14:00:00,12,27,30,16750,11679,200,36,185.85729432106018,0
2022-10-20 14:00:00,2022-10-20 15:00:00,12,17,22,16494,11446,200,24,203.9055730700493,0
2022-10-20 15:00:00,2022-10-20 16:00:00,12,17,21,16104,11232,200,21,206.73233368992805,0
2022-10-20 16:00:00,2022-10-20 17:00:00,12,19,27,15658,11033,200,27,217.88887563347816,0
2022-10-20 17:00:00,2022-10-20 18:00:00,12,19,30,15551,10963,200,31,220.32883536815643,0
2022-10-20 18:00:00,2022-10-20 19:00:00,12,23,28,15434,10857,200,30,222.06387495994568,0
2022-10-20 19:00:00,2022-10-20 20:00:00,12,24,27,15351,10596,200,29,264.9217971563339,0
2022-10-20 20:00:00,2022-10-20 21:00:00,12,16,19,15317,10461,200,21,271.6173918545246,0
2022-10-20 21:00:00,2022-10-20 22:00:00,12,13,22,15193,10253,200,22,280.71712094545364,0
2022-10-20 22:00:00,2022-10-20 23:00:00,12,21,26,15108,10155,200,30,270.24697387218475,0
2022-10-20 23:00:00,2022-10-21 00:00:00,12,19,22,15028,10039,200,26,293.4450444281101,0
2022-10-21 00:00:00,2022-10-21 01:00:00,12,15,17,14825,9884,200,21,318.0821650028229,0
2022-10-21 01:00:00,2022-10-21 02:00:00,12,13,15,14652,9770,200,16,339.8886209130287,0
2022-10-21 02:00:00,2022-10-21 03:00:00,12,11,16,14397,9460,200,16,354.47668612003326,0
2022-10-21 03:00:00,2022-10-21 04:00:00,12,7,12,14177,9289,200,13,360.7342602610588,0
2022-10-21 04:00:00,2022-10-21 05:00:00,12,6,14,14023,9034,200,14,376.90838944911957,0
2022-10-21 05:00:00,2022-10-21 06:00:00,12,17,17,13956,8659,200,23,408.14720714092255,0
2022-10-21 06:00:00,2022-10-21 07:00:00,12,11,22,13537,8661,200,24,431.1369378268719,0
2022-10-21 07:00:00,2022-10-21 08:00:00,12,20,24,13339,8681,200,30,434.3429918587208,0
2022-10-21 08:00:00,2022-10-21 09:00:00,12,19,24,13075,8730,200,27,444.1867640912533,0
2022-10-21 09:00:00,2022-10-21 10:00:00,12,19,26,12936,8584,200,30,459.802583694458,0
2022-10-21 10:00:00,2022-10-21 11:00:00,12,20,24,13063,8297,200,27,474.6008438915014,0
2022-10-21 11:00:00,2022-10-21 12:00:00,12,13,15,12857,8050,200,18,511.3153122663498,0
2022-10-21 12:00:00,2022-10-21 13:00:00,12,13,17,12687,7969,200,18,519.0154156684875,0
2022-10-21 13:00:00,2022-10-21 14:00:00,12,15,24,12470,7904,200,25,507.126573741436,0
2022-10-21 14:00:00,2022-10-21 15:00:00,12,17,25,12361,7598,200,30,521.2688507437706,0
2022-10-21 15:00:00,2022-10-21 16:00:00,12,15,25,12016,7425,200,26,543.9321839213371,0
2022-10-21 16:00:00,2022-10-21 17:00:00,12,18,24,11785,7278,200,30,539.3837924599648,0
2022-10-21 17:00:00,2022-10-21 18:00:00,12,14,36,11479,7208,200,37,541.6002777218819,0
2022-10-21 18:00:00,2022-10-21 19:00:00,12,22,33,11217,7110,200,41,514.6297583580017,0
2022-10-21 19:00:00,2022-10-21 20:00:00,12,14,18,11028,6951,200,22,589.7163518071175,0
2022-10-21 20:00:00,2022-10-21 21:00:00,12,11,24,10822,6771,200,26,585.9074905514717,0
2022-10-21 21:00:00,2022-10-21 22:00:00,12,7,13,10665,6591,200,15,620.4973076581955,0
2022-10-21 22:00:00,2022-10-21 23:00:00,12,8,15,10546,6450,200,17,639.3722987174988,0
2022-10-21 23:00:00,2022-10-22 00:00:00,12,17,22,10491,6272,200,27,639.177322268486,0
2022-10-22 00:00:00,2022-10-22 01:00:00,12,16,20,10422,6031,200,24,644.288097679615,0
2022-10-22 01:00:00,2022-10-22 02:00:00,12,16,17,10302,5908,200,22,665.9677533209324,0
2022-10-22 02:00:00,2022-10-22 03:00:00,12,18,21,10207,5805,200,29,666.3190777301788,0
2022-10-22 03:00:00,2022-10-22 04:00:00,12,19,24,10019,5615,200,29,704.1308681964874,0
2022-10-22 04:00:00,2022-10-22 05:00:00,12,13,13,9811,5324,200,17,733.2878975868225,0
2022-10-22 05:00:00,2022-10-22 06:00:00,12,14,14,9611,5198,200,20,727.7136306762695,0
2022-10-22 06:00:00,2022-10-22 07:00:00,12,16,14,9473,4986,200,20,737.7351135015488,0
2022-10-22 07:00:00,2022-10-22 08:00:00,12,11,12,9278,4806,200,13,735.7208850979805,0
2022-10-22 08:00:00,2022-10-22 09:00:00,12,15,21,8934,4748,200,25,670.8035894036293,0
2022-10-22 09:00:00,2022-10-22 10:00:00,12,14,29,8708,4828,200,31,638.154211640358,0
2022-10-22 10:00:00,2022-10-22 11:00:00,12,19,29,8677,4600,200,34,676.332779943943,0
2022-10-22 11:00:00,2022-10-22 12:00:00,12,16,27,8693,4313,200,31,727.805052652955,0
2022-10-22 12:00:00,2022-10-22 13:00:00,12,15,20,8547,4166,200,25,728.0628132522106,0
2022-10-22 13:00:00,2022-10-22 14:00:00,12,23,28,8387,4158,200,36,600.702697634697,0
2022-10-22 14:00:00,2022-10-22 15:00:00,12,20,24,8249,4061,200,34,779.4558715224266,0
2022-10-22 15:00:00,2022-10-22 16:00:00,12,13,21,7965,3889,200,24,838.5994153916836,0
2022-10-22 16:00:00,2022-10-22 17:00:00,12,12,21,7734,3737,200,26,831.0751554965973,0
2022-10-22 17:00:00,2022-10-22 18:00:00,12,10,21,7513,3636,200,27,893.6220407485962,0
2022-10-22 18:00:00,2022-10-22 19:00:00,12,8,15,7171,3482,200,17,948.6132088899612,0
2022-10-22 19:00:00,2022-10-22 20:00:00,12,11,12,6965,3275,200,18,975.1739834547043,0
2022-10-22 20:00:00,2022-10-22 21:00:00,12,7,11,6763,3108,200,14,1011.6430268287659,0
2022-10-22 21:00:00,2022-10-22 22:00:00,12,9,15,6608,2911,200,18,1030.3863533735275,0
2022-10-22 22:00:00,2022-10-22 23:00:00,12,12,13,6526,2687,200,20,1058.2956116199493,0
2022-10-22 23:00:00,2022-10-23 00:00:00,12,10,16,6395,2559,200,22,1088.7269287109375,0
2022-10-23 00:00:00,2022-10-23 01:00:00,12,21,16,6329,2351,200,31,1093.698606133461,0
2022-10-23 01:00:00,2022-10-23 02:00:00,12,17,25,6182,2207,200,33,1140.534152507782,0
2022-10-23 02:00:00,2022-10-23 03:00:00,12,16,18,6011,2063,200,26,1219.3531622886658,0
2022-10-23 03:00:00,2022-10-23 04:00:00,12,11,18,5862,1872,200,23,1224.4361859560013,0
2022-10-23 04:00:00,2022-10-23 05:00:00,12,10,10,5638,1650,200,16,1322.3919468224049,0
2022-10-23 05:00:00,2022-10-23 06:00:00,12,16,11,5482,1465,200,20,1314.9342695474625,0
2022-10-23 06:00:00,2022-10-23 07:00:00,12,8,20,5269,1298,200,21,1312.4817655086517,0
2022-10-23 07:00:00,2022-10-23 08:00:00,12,6,24,5015,1141,200,27,1323.158555060625,0
2022-10-23 08:00:00,2022-10-23 09:00:00,12,5,26,4782,1007,200,26,1322.439928919077,0
2022-10-23 09:00:00,2022-10-23 10:00:00,12,8,54,4536,941,200,55,1257.813813984394,0
2022-10-23 10:00:00,2022-10-23 11:00:00,12,10,60,4330,926,200,62,1139.803158044815,0
2022-10-23 11:00:00,2022-10-23 12:00:00,12,12,41,4203,863,200,48,1222.213560193777,0
