decision_ts,next_ts,effective_horizon,receiver_station_count,donor_station_count,requested_inbound_bikes,requested_outbound_bikes,matched_bikes,transfer_action_count,bike_km,infeasible_station_count
2022-10-19 15:00:00,2022-10-19 16:00:00,12,15,14,20249,15016,200,15,36.16018941998482,0
2022-10-19 16:00:00,2022-10-19 17:00:00,12,9,9,19865,14584,200,9,47.06995148956776,0
2022-10-19 17:00:00,2022-10-19 18:00:00,12,15,16,19656,14348,200,16,50.64897891879082,0
2022-10-19 18:00:00,2022-10-19 19:00:00,12,16,15,19251,14152,200,17,49.547340512275696,0
2022-10-19 19:00:00,2022-10-19 20:00:00,12,15,14,19168,13995,200,17,55.52774016559124,0
2022-10-19 20:00:00,2022-10-19 21:00:00,12,21,20,19345,13896,200,22,62.09326443076134,0
2022-10-19 21:00:00,2022-10-19 22:00:00,12,30,32,19469,13862,200,34,62.165008544921875,0
2022-10-19 22:00:00,2022-10-19 23:00:00,12,28,24,19430,13784,200,31,68.80206755548716,0
2022-10-19 23:00:00,2022-10-20 00:00:00,12,14,13,19253,13653,200,15,79.40202429145575,0
2022-10-20 00:00:00,2022-10-20 01:00:00,12,16,15,19038,13587,200,17,86.25682517886162,0
2022-10-20 01:00:00,2022-10-20 02:00:00,12,11,15,18727,13628,200,15,95.22250616550446,0
2022-10-20 02:00:00,2022-10-20 03:00:00,12,9,9,18511,13478,200,9,99.4130490720272,0
2022-10-20 03:00:00,2022-10-20 04:00:00,12,8,9,18242,13271,200,9,100.55722264945507,0
2022-10-20 04:00:00,2022-10-20 05:00:00,12,17,18,18064,13007,200,19,107.89396680891514,0
2022-10-20 05:00:00,2022-10-20 06:00:00,12,14,13,17811,12874,200,15,122.01390615105629,0
2022-10-20 06:00:00,2022-10-20 07:00:00,12,19,22,17625,12672,200,24,126.56799647212029,0
2022-10-20 07:00:00,2022-10-20 08:00:00,12,26,24,17626,12465,200,27,139.76319298148155,0
2022-10-20 08:00:00,2022-10-20 09:00:00,12,25,23,17748,12492,200,26,121.43520238995552,0
2022-10-20 09:00:00,2022-10-20 10:00:00,12,27,25,17466,12622,200,31,124.91562822461128,0
2022-10-20 10:00:00,2022-10-20 11:00:00,12,27,25,17446,12584,200,31,142.70787619054317,0
2022-10-20 11:00:00,2022-10-20 12:00:00,12,22,23,17215,12382,200,26,169.58586186170578,0
2022-10-20 12:00:00,2022-10-20 13:00:00,12,21,27,16956,12139,200,30,181.10297928750515,0
2022-10-20 13:00:00,2022-10-20 14:00:00,12,25,29,16629,11875,200,31,196.55815583467484,0
2022-10-20 14:00:00,2022-10-20 15:00:00,12,16,16,16438,11605,200,18,210.77610832452774,0
2022-10-20 15:00:00,2022-10-20 16:00:00,12,16,19,16111,11302,200,20,215.38376653194427,0
2022-10-20 16:00:00,2022-10-20 17:00:00,12,18,26,15767,11061,200,26,228.67074221372604,0
2022-10-20 17:00:00,2022-10-20 18:00:00,12,21,26,15596,10716,200,29,235.5229116231203,0
2022-10-20 18:00:00,2022-10-20 19:00:00,12,25,34,15352,10575,200,37,246.04141438007355,0
2022-10-20 19:00:00,2022-10-20 20:00:00,12,15,18,15215,10339,200,19,271.99730756878853,0
2022-10-20 20:00:00,2022-10-20 21:00:00,12,15,19,15179,10184,200,21,278.68925765156746,0
2022-10-20 21:00:00,2022-10-20 22:00:00,12,19,20,15101,9989,200,23,297.9297462105751,0
2022-10-20 22:00:00,2022-10-20 23:00:00,12,18,19,14961,9814,200,25,318.32345283031464,0
2022-10-20 23:00:00,2022-10-21 00:00:00,12,19,16,14796,9666,200,21,319.9226476550102,0
2022-10-21 00:00:00,2022-10-21 01:00:00,12,16,24,14600,9622,200,26,339.25682458281517,0
2022-10-21 01:00:00,2022-10-21 02:00:00,12,16,24,14340,9653,200,25,339.4076941013336,0
2022-10-21 02:00:00,2022-10-21 03:00:00,12,15,19,14145,9503,200,21,346.1171532869339,0
2022-10-21 03:00:00,2022-10-21 04:00:00,12,11,19,13930,9434,200,20,363.5319362282753,0
2022-10-21 04:00:00,2022-10-21 05:00:00,12,15,28,13741,9240,200,29,377.60919508337975,0
2022-10-21 05:00:00,2022-10-21 06:00:00,12,10,23,13526,9137,200,24,426.4176649749279,0
2022-10-21 06:00:00,2022-10-21 07:00:00,12,14,25,13413,9021,200,29,434.1103333234787,0
2022-10-21 07:00:00,2022-10-21 08:00:00,12,24,27,13468,8795,200,33,445.0593416392803,0
2022-10-21 08:00:00,2022-10-21 09:00:00,12,20,26,13425,8607,200,31,449.6692225039005,0
2022-10-21 09:00:00,2022-10-21 10:00:00,12,23,29,13236,8508,200,33,462.9158473908901,0
2022-10-21 10:00:00,2022-10-21 11:00:00,12,14,19,13070,8397,200,19,485.3076728582382,0
2022-10-21 11:00:00,2022-10-21 12:00:00,12,12,17,12835,8219,200,18,512.4312930107117,0
2022-10-21 12:00:00,2022-10-21 13:00:00,12,9,13,12528,8024,200,14,526.2928336858749,0
2022-10-21 13:00:00,2022-10-21 14:00:00,12,9,18,12269,7818,200,18,536.6451981067657,0
2022-10-21 14:00:00,2022-10-21 15:00:00,12,13,18,12153,7594,200,20,550.856725692749,0
2022-10-21 15:00:00,2022-10-21 16:00:00,12,15,19,11826,7419,200,22,566.3450844287872,0
2022-10-21 16:00:00,2022-10-21 17:00:00,12,15,20,11637,7211,200,21,565.3445264101028,0
2022-10-21 17:00:00,2022-10-21 18:00:00,12,16,27,11381,6913,200,29,570.5122292637825,0
2022-10-21 18:00:00,2022-10-21 19:00:00,12,19,23,11109,6719,200,28,542.0390259027481,0
2022-10-21 19:00:00,2022-10-21 20:00:00,12,14,22,10901,6588,200,26,602.7934551239014,0
2022-10-21 20:00:00,2022-10-21 21:00:00,12,10,17,10725,6411,200,20,603.4041885137558,0
2022-10-21 21:00:00,2022-10-21 22:00:00,12,11,13,10581,6238,200,16,628.6097073554993,0
2022-10-21 22:00:00,2022-10-21 23:00:00,12,11,16,10458,6115,200,19,648.5878322124481,0
2022-10-21 23:00:00,2022-10-22 00:00:00,12,14,20,10359,5973,200,24,672.0336842536926,0
2022-10-22 00:00:00,2022-10-22 01:00:00,12,9,17,10158,5816,200,19,675.0783352851868,0
2022-10-22 01:00:00,2022-10-22 02:00:00,12,14,15,9983,5604,200,21,715.9694135189056,0
2022-10-22 02:00:00,2022-10-22 03:00:00,12,11,14,9816,5454,200,16,722.2941129207611,0
2022-10-22 03:00:00,2022-10-22 04:00:00,12,12,15,9629,5304,200,18,730.9179416894913,0
2022-10-22 04:00:00,2022-10-22 05:00:00,12,8,13,9444,5119,200,14,750.9348316192627,0
2022-10-22 05:00:00,2022-10-22 06:00:00,12,11,15,9240,4966,200,17,751.7858440876007,0
2022-10-22 06:00:00,2022-10-22 07:00:00,12,10,22,8994,4830,200,23,723.2614054679871,0
2022-10-22 07:00:00,2022-10-22 08:00:00,12,9,28,8781,4714,200,29,729.5886961221695,0
2022-10-22 08:00:00,2022-10-22 09:00:00,12,12,22,8607,4538,200,23,741.2044506669044,0
2022-10-22 09:00:00,2022-10-22 10:00:00,12,14,19,8508,4388,200,26,764.4919767975807,0
2022-10-22 10:00:00,2022-10-22 11:00:00,12,23,27,8353,4218,200,37,743.4893525838852,0
2022-10-22 11:00:00,2022-10-22 12:00:00,12,22,30,8336,4011,200,37,721.1399045288563,0
2022-10-22 12:00:00,2022-10-22 13:00:00,12,22,35,8204,3905,200,41,717.7431576997042,0
2022-10-22 13:00:00,2022-10-22 14:00:00,12,26,35,8041,3920,200,45,607.9979111850262,0
2022-10-22 14:00:00,2022-10-22 15:00:00,12,16,25,7878,3774,200,29,816.4424516558647,0
2022-10-22 15:00:00,2022-10-22 16:00:00,12,13,17,7635,3556,200,23,875.7915218770504,0
2022-10-22 16:00:00,2022-10-22 17:00:00,12,14,15,7428,3382,200,23,890.3425946235657,0
2022-10-22 17:00:00,2022-10-22 18:00:00,12,10,14,7258,3192,200,16,954.3316878974438,0
2022-10-22 18:00:00,2022-10-22 19:00:00,12,8,14,6956,3034,200,17,989.6053569316864,0
2022-10-22 19:00:00,2022-10-22 20:00:00,12,9,11,6752,2828,200,14,1034.0478534698486,0
2022-10-22 20:00:00,2022-10-22 21:00:00,12,8,15,6564,2680,200,19,1050.135541677475,0
2022-10-22 21:00:00,2022-10-22 22:00:00,12,10,11,6418,2488,200,18,1068.5167586803436,0
2022-10-22 22:00:00,2022-10-22 23:00:00,12,14,17,6325,2271,200,23,1113.8346049785614,0
2022-10-22 23:00:00,2022-10-23 00:00:00,12,11,20,6169,2135,200,25,1187.6703567504883,0
2022-10-23 00:00:00,2022-10-23 01:00:00,12,12,16,6012,1961,200,21,1219.927043914795,0
2022-10-23 01:00:00,2022-10-23 02:00:00,12,12,21,5831,1800,200,26,1243.728398323059,0
2022-10-23 02:00:00,2022-10-23 03:00:00,12,13,19,5656,1635,200,23,1292.3034484386444,0
2022-10-23 03:00:00,2022-10-23 04:00:00,12,8,28,5451,1489,200,30,1291.066908121109,0
2022-10-23 04:00:00,2022-10-23 05:00:00,12,9,24,5262,1323,200,25,1321.3474762439728,0
2022-10-23 05:00:00,2022-10-23 06:00:00,12,13,28,5073,1160,200,36,1346.3216094970703,0
2022-10-23 06:00:00,2022-10-23 07:00:00,12,11,28,4868,1014,200,31,1328.9731475114822,0
2022-10-23 07:00:00,2022-10-23 08:00:00,12,16,39,4660,857,200,49,1385.5162045657635,0
2022-10-23 08:00:00,2022-10-23 09:00:00,12,12,36,4469,684,200,42,1492.5444011986256,0
2022-10-23 09:00:00,2022-10-23 10:00:00,12,20,27,4281,519,200,41,1636.470633506775,0
2022-10-23 10:00:00,2022-10-23 11:00:00,12,15,27,4118,352,200,35,1807.662101507187,0
2022-10-23 11:00:00,2022-10-23 12:00:00,12,25,33,4016,202,200,49,1886.4139134585857,0
2022-10-23 12:00:00,2022-10-23 13:00:00,12,14,21,3817,31,31,25,196.49729293584824,0
2022-10-23 13:00:00,2022-10-23 14:00:00,12,12,15,3800,27,27,18,153.73740184307098,0
