decision_ts,next_ts,effective_horizon,receiver_station_count,donor_station_count,requested_inbound_bikes,requested_outbound_bikes,matched_bikes,transfer_action_count,bike_km,infeasible_station_count
2022-10-19 15:00:00,2022-10-19 16:00:00,12,6,6,19058,50055,200,6,16.826838048174977,199
2022-10-19 16:00:00,2022-10-19 17:00:00,12,10,10,19002,44966,200,10,27.732169449329376,161
2022-10-19 17:00:00,2022-10-19 18:00:00,12,8,8,19197,39379,200,8,31.106917053461075,110
2022-10-19 18:00:00,2022-10-19 19:00:00,12,13,13,19069,34837,200,13,33.70405715703964,66
2022-10-19 19:00:00,2022-10-19 20:00:00,12,13,13,18831,32689,200,13,41.361958026885986,49
2022-10-19 20:00:00,2022-10-19 21:00:00,12,9,11,18514,32539,200,11,41.526798374950886,46
2022-10-19 21:00:00,2022-10-19 22:00:00,12,8,10,18271,33200,200,10,37.22393158078194,49
2022-10-19 22:00:00,2022-10-19 23:00:00,12,13,15,17985,34318,200,15,38.68635914474726,57
2022-10-19 23:00:00,2022-10-20 00:00:00,12,17,17,17735,36058,200,17,39.3544737175107,66
2022-10-20 00:00:00,2022-10-20 01:00:00,12,18,18,17470,38289,200,18,43.32110168784857,83
2022-10-20 01:00:00,2022-10-20 02:00:00,12,16,17,17193,41684,200,17,46.2322487719357,107
2022-10-20 02:00:00,2022-10-20 03:00:00,12,21,22,16931,45903,200,22,44.73043812811375,151
2022-10-20 03:00:00,2022-10-20 04:00:00,12,18,20,16667,50629,200,20,42.63212566077709,186
2022-10-20 04:00:00,2022-10-20 05:00:00,12,24,26,16443,55792,200,26,40.00004129111767,240
2022-10-20 05:00:00,2022-10-20 06:00:00,12,26,27,16281,61284,200,27,35.87198422849178,293
2022-10-20 06:00:00,2022-10-20 07:00:00,12,30,31,16166,64596,200,31,36.32629898749292,328
2022-10-20 07:00:00,2022-10-20 08:00:00,12,24,25,16157,64927,200,25,43.651670806109905,336
2022-10-20 08:00:00,2022-10-20 09:00:00,12,19,21,15976,64001,200,21,44.404264360666275,332
2022-10-20 09:00:00,2022-10-20 10:00:00,12,25,25,15759,62899,200,25,46.32892565988004,322
2022-10-20 10:00:00,2022-10-20 11:00:00,12,19,20,15660,61284,200,20,47.61012054234743,311
2022-10-20 11:00:00,2022-10-20 12:00:00,12,24,24,15604,59286,200,24,49.53022342920303,301
2022-10-20 12:00:00,2022-10-20 13:00:00,12,25,22,15464,57297,200,25,48.68533510155976,287
2022-10-20 13:00:00,2022-10-20 14:00:00,12,20,19,15408,54660,200,20,49.80701068416238,268
2022-10-20 14:00:00,2022-10-20 15:00:00,12,15,14,15363,51608,200,15,52.5947929546237,243
2022-10-20 15:00:00,2022-10-20 16:00:00,12,17,17,15343,48075,200,17,52.90892028808594,212
2022-10-20 16:00:00,2022-10-20 17:00:00,12,20,21,15436,43414,200,21,53.2744255065918,175
2022-10-20 17:00:00,2022-10-20 18:00:00,12,17,17,15644,38451,200,17,55.05741232633591,128
2022-10-20 18:00:00,2022-10-20 19:00:00,12,18,16,15617,34578,200,18,56.277779057621956,88
2022-10-20 19:00:00,2022-10-20 20:00:00,12,21,18,15455,33035,200,22,58.9633484184742,65
2022-10-20 20:00:00,2022-10-20 21:00:00,12,25,22,15187,33364,200,25,58.7705647200346,64
2022-10-20 21:00:00,2022-10-20 22:00:00,12,22,21,14912,34150,200,24,55.10962998867035,73
2022-10-20 22:00:00,2022-10-20 23:00:00,12,25,23,14614,35308,200,27,56.49810857325792,83
2022-10-20 23:00:00,2022-10-21 00:00:00,12,25,27,14355,37132,200,29,59.301830753684044,93
2022-10-21 00:00:00,2022-10-21 01:00:00,12,21,20,14073,39761,200,22,67.47956764698029,107
2022-10-21 01:00:00,2022-10-21 02:00:00,12,27,27,13783,43445,200,28,65.53114537708461,139
2022-10-21 02:00:00,2022-10-21 03:00:00,12,31,31,13476,47839,200,34,61.69568286277354,177
2022-10-21 03:00:00,2022-10-21 04:00:00,12,28,29,13215,52591,200,30,60.833705969154835,226
2022-10-21 04:00:00,2022-10-21 05:00:00,12,25,28,12962,57524,200,28,65.86511496640742,278
2022-10-21 05:00:00,2022-10-21 06:00:00,12,30,37,12715,62095,200,37,61.28197684325278,322
2022-10-21 06:00:00,2022-10-21 07:00:00,12,32,37,12612,64516,200,38,60.75268714502454,348
2022-10-21 07:00:00,2022-10-21 08:00:00,12,36,36,12749,63795,200,38,60.75201124697924,345
2022-10-21 08:00:00,2022-10-21 09:00:00,12,35,31,12694,62148,200,35,63.768205750733614,333
2022-10-21 09:00:00,2022-10-21 10:00:00,12,32,33,12592,60751,200,36,65.76598359830678,325
2022-10-21 10:00:00,2022-10-21 11:00:00,12,33,33,12478,59279,200,35,70.28953550755978,316
