decision_ts,next_ts,effective_horizon,receiver_station_count,donor_station_count,requested_inbound_bikes,requested_outbound_bikes,matched_bikes,transfer_action_count,bike_km,infeasible_station_count
2022-10-19 15:00:00,2022-10-19 16:00:00,12,4,4,46338,13950,200,4,19.293334359303117,171
2022-10-19 16:00:00,2022-10-19 17:00:00,12,3,3,41943,13715,200,3,23.01210357248783,121
2022-10-19 17:00:00,2022-10-19 18:00:00,12,10,10,37374,13674,200,10,26.80416463315487,69
2022-10-19 18:00:00,2022-10-19 19:00:00,12,6,6,34090,13662,200,6,30.009477347135544,46
2022-10-19 19:00:00,2022-10-19 20:00:00,12,11,11,33543,13609,200,11,32.20261512696743,47
2022-10-19 20:00:00,2022-10-19 21:00:00,12,13,13,34191,13375,200,13,36.65453797578812,59
2022-10-19 21:00:00,2022-10-19 22:00:00,12,25,26,35048,13094,200,27,39.67680626362562,80
2022-10-19 22:00:00,2022-10-19 23:00:00,12,25,27,36030,12857,200,27,41.616333305835724,89
2022-10-19 23:00:00,2022-10-20 00:00:00,12,27,26,37458,12636,200,27,40.63003332167864,106
2022-10-20 00:00:00,2022-10-20 01:00:00,12,31,29,39384,12403,200,31,40.59711059182882,126
2022-10-20 01:00:00,2022-10-20 02:00:00,12,36,33,42484,12183,200,37,38.99776861816645,167
2022-10-20 02:00:00,2022-10-20 03:00:00,12,26,26,46364,11964,200,27,33.153906136751175,206
2022-10-20 03:00:00,2022-10-20 04:00:00,12,27,26,50548,11705,200,27,33.97199195623398,258
2022-10-20 04:00:00,2022-10-20 05:00:00,12,22,21,54901,11426,200,24,27.291028052568436,305
2022-10-20 05:00:00,2022-10-20 06:00:00,12,24,22,59219,11098,200,24,27.448031321167946,348
2022-10-20 06:00:00,2022-10-20 07:00:00,12,33,32,61302,10858,200,35,36.87550203502178,359
2022-10-20 07:00:00,2022-10-20 08:00:00,12,30,30,61788,10627,200,31,39.27957049757242,365
2022-10-20 08:00:00,2022-10-20 09:00:00,12,28,30,61536,10600,200,30,36.0815222710371,364
2022-10-20 09:00:00,2022-10-20 10:00:00,12,24,24,59928,10700,200,25,38.52812138199806,353
2022-10-20 10:00:00,2022-10-20 11:00:00,12,27,27,57915,10634,200,29,43.881586000323296,340
2022-10-20 11:00:00,2022-10-20 12:00:00,12,27,26,55871,10664,200,27,44.07828126102686,321
2022-10-20 12:00:00,2022-10-20 13:00:00,12,24,23,53704,10655,200,24,46.22353582084179,298
2022-10-20 13:00:00,2022-10-20 14:00:00,12,23,25,51112,10588,200,25,47.31451873481274,267
2022-10-20 14:00:00,2022-10-20 15:00:00,12,23,24,48066,10591,200,24,49.502314895391464,232
2022-10-20 15:00:00,2022-10-20 16:00:00,12,17,17,44734,10567,200,17,51.39270433783531,198
2022-10-20 16:00:00,2022-10-20 17:00:00,12,19,20,40622,10473,200,20,49.27357102930546,143
2022-10-20 17:00:00,2022-10-20 18:00:00,12,27,28,36542,10502,200,28,53.774283334612846,93
