decision_ts,next_ts,effective_horizon,receiver_station_count,donor_station_count,requested_inbound_bikes,requested_outbound_bikes,matched_bikes,transfer_action_count,bike_km,infeasible_station_count
2022-10-19 15:00:00,2022-10-19 16:00:00,12,15,15,20696,15298,200,15,33.20918260514736,0
2022-10-19 16:00:00,2022-10-19 17:00:00,12,13,13,20223,14870,200,13,45.99323073029518,0
2022-10-19 17:00:00,2022-10-19 18:00:00,12,16,16,19940,14707,200,16,48.79258641600609,0
2022-10-19 18:00:00,2022-10-19 19:00:00,12,12,14,19449,14547,200,15,48.03234811127186,0
2022-10-19 19:00:00,2022-10-19 20:00:00,12,12,10,19248,14320,200,13,54.35813720524311,0
2022-10-19 20:00:00,2022-10-19 21:00:00,12,17,16,19446,14130,200,18,59.027172580361366,0
2022-10-19 21:00:00,2022-10-19 22:00:00,12,28,27,19639,14031,200,30,61.29688574373722,0
2022-10-19 22:00:00,2022-10-19 23:00:00,12,31,29,19679,13991,200,33,60.23370732367039,0
2022-10-19 23:00:00,2022-10-20 00:00:00,12,22,19,19612,13922,200,22,71.87701278924942,0
2022-10-20 00:00:00,2022-10-20 01:00:00,12,27,25,19428,13674,200,28,78.81354853510857,0
2022-10-20 01:00:00,2022-10-20 02:00:00,12,19,18,19341,13451,200,20,84.84976126253605,0
2022-10-20 02:00:00,2022-10-20 03:00:00,12,27,27,19275,13234,200,29,91.23889480531216,0
2022-10-20 03:00:00,2022-10-20 04:00:00,12,18,18,19187,13003,200,18,97.64447146654129,0
2022-10-20 04:00:00,2022-10-20 05:00:00,12,23,19,19114,12770,200,23,96.57235939800739,0
2022-10-20 05:00:00,2022-10-20 06:00:00,12,27,25,18986,12528,200,28,99.33568346500397,0
2022-10-20 06:00:00,2022-10-20 07:00:00,12,20,18,18696,12213,200,20,110.59840531647205,0
2022-10-20 07:00:00,2022-10-20 08:00:00,12,25,22,18903,11817,200,27,120.9396286457777,0
2022-10-20 08:00:00,2022-10-20 09:00:00,12,27,21,19151,11749,200,30,111.2765457034111,0
2022-10-20 09:00:00,2022-10-20 10:00:00,12,27,23,19005,11869,200,30,92.38028466701508,0
