decision_ts,next_ts,effective_horizon,receiver_station_count,donor_station_count,requested_inbound_bikes,requested_outbound_bikes,matched_bikes,transfer_action_count,bike_km,infeasible_station_count
2022-10-19 15:00:00,2022-10-19 16:00:00,12,200,349,20958,16202,16202,533,45089.97163360566,0
2022-10-19 16:00:00,2022-10-19 17:00:00,12,2,3,4719,4,4,3,15.97884464263916,0
2022-10-19 17:00:00,2022-10-19 18:00:00,12,4,4,4661,4,4,4,12.221756100654602,0
2022-10-19 18:00:00,2022-10-19 19:00:00,12,9,12,4634,25,25,13,79.37076497077942,0
2022-10-19 19:00:00,2022-10-19 20:00:00,12,14,15,4669,56,56,21,218.11276039481163,0
2022-10-19 20:00:00,2022-10-19 21:00:00,12,30,38,4834,129,129,53,335.0155210494995,0
2022-10-19 21:00:00,2022-10-19 22:00:00,12,27,46,4830,201,201,61,670.3933020308614,0
2022-10-19 22:00:00,2022-10-19 23:00:00,12,21,32,4706,88,88,42,273.3097881823778,0
2022-10-19 23:00:00,2022-10-20 00:00:00,12,21,30,4679,64,64,34,190.90371829271317,0
2022-10-20 00:00:00,2022-10-20 01:00:00,12,13,16,4659,39,39,20,121.93559366464615,0
2022-10-20 01:00:00,2022-10-20 02:00:00,12,9,9,4657,16,16,12,31.153779834508896,0
2022-10-20 02:00:00,2022-10-20 03:00:00,12,14,15,4660,35,35,19,81.67670798301697,0
2022-10-20 03:00:00,2022-10-20 04:00:00,12,13,11,4651,29,29,17,58.17010319232941,0
2022-10-20 04:00:00,2022-10-20 05:00:00,12,6,6,4653,9,9,7,26.00076860189438,0
2022-10-20 05:00:00,2022-10-20 06:00:00,12,15,16,4686,40,40,22,88.28355801105499,0
2022-10-20 06:00:00,2022-10-20 07:00:00,12,20,33,4663,92,92,42,305.2214171886444,0
2022-10-20 07:00:00,2022-10-20 08:00:00,12,13,27,4593,72,72,31,366.41166165471077,0
2022-10-20 08:00:00,2022-10-20 09:00:00,12,12,24,4534,65,65,27,343.13906867802143,0
2022-10-20 09:00:00,2022-10-20 10:00:00,12,9,26,4478,41,41,27,218.42649215459824,0
2022-10-20 10:00:00,2022-10-20 11:00:00,12,14,22,4440,45,45,26,184.522502720356,0
2022-10-20 11:00:00,2022-10-20 12:00:00,12,7,13,4415,28,28,16,73.02337819337845,0
2022-10-20 12:00:00,2022-10-20 13:00:00,12,7,10,4400,16,16,10,65.28739380836487,0
2022-10-20 13:00:00,2022-10-20 14:00:00,12,13,12,4385,17,17,15,83.39430809020996,0
2022-10-20 14:00:00,2022-10-20 15:00:00,12,7,11,4351,15,15,12,73.6244660615921,0
2022-10-20 15:00:00,2022-10-20 16:00:00,12,3,3,4317,3,3,3,14.645018577575684,0
2022-10-20 16:00:00,2022-10-20 17:00:00,12,3,4,4283,4,4,4,18.739726424217224,0
2022-10-20 17:00:00,2022-10-20 18:00:00,12,3,3,4222,3,3,3,12.31513237953186,0
2022-10-20 18:00:00,2022-10-20 19:00:00,12,3,3,4142,5,5,3,19.80827569961548,0
2022-10-20 19:00:00,2022-10-20 20:00:00,12,4,5,4168,5,5,5,19.53483557701111,0
2022-10-20 20:00:00,2022-10-20 21:00:00,12,9,11,4240,23,23,14,68.84062361717224,0
2022-10-20 21:00:00,2022-10-20 22:00:00,12,7,14,4287,26,26,14,83.5020227432251,0
2022-10-20 22:00:00,2022-10-20 23:00:00,12,8,13,4285,33,33,15,107.8210317492485,0
2022-10-20 23:00:00,2022-10-21 00:00:00,12,6,10,4260,18,18,10,64.28914141654968,0
2022-10-21 00:00:00,2022-10-21 01:00:00,12,8,14,4258,29,29,15,111.960275888443,0
2022-10-21 01:00:00,2022-10-21 02:00:00,12,5,5,4255,9,9,6,41.296634912490845,0
2022-10-21 02:00:00,2022-10-21 03:00:00,12,4,7,4285,10,10,7,17.644281923770905,0
2022-10-21 03:00:00,2022-10-21 04:00:00,12,8,9,4290,19,19,11,78.8114607334137,0
