decision_ts,next_ts,effective_horizon,receiver_station_count,donor_station_count,requested_inbound_bikes,requested_outbound_bikes,matched_bikes,transfer_action_count,bike_km,infeasible_station_count
2022-10-19 15:00:00,2022-10-19 16:00:00,12,15,15,20958,16202,200,15,29.680761359632015,0
2022-10-19 16:00:00,2022-10-19 17:00:00,12,7,7,20602,15765,200,7,44.58282187581062,0
2022-10-19 17:00:00,2022-10-19 18:00:00,12,9,10,20170,15333,200,10,46.818340346217155,0
2022-10-19 18:00:00,2022-10-19 19:00:00,12,11,10,19781,14960,200,11,51.692273050546646,0
2022-10-19 19:00:00,2022-10-19 20:00:00,12,11,8,19606,14719,200,11,55.17010349035263,0
2022-10-19 20:00:00,2022-10-19 21:00:00,12,18,17,19806,14843,200,18,56.24205945432186,0
2022-10-19 21:00:00,2022-10-19 22:00:00,12,21,20,19828,15050,200,21,56.69506997615099,0
2022-10-19 22:00:00,2022-10-19 23:00:00,12,27,26,19764,14927,200,29,65.47795547544956,0
2022-10-19 23:00:00,2022-10-20 00:00:00,12,9,7,19645,14773,200,9,78.71396645903587,0
2022-10-20 00:00:00,2022-10-20 01:00:00,12,13,11,19503,14607,200,13,82.90463514626026,0
2022-10-20 01:00:00,2022-10-20 02:00:00,12,14,14,19355,14433,200,14,87.41763487458229,0
2022-10-20 02:00:00,2022-10-20 03:00:00,12,11,11,19189,14283,200,11,97.20324170589447,0
2022-10-20 03:00:00,2022-10-20 04:00:00,12,5,5,19016,14126,200,5,100.46001499891281,0
2022-10-20 04:00:00,2022-10-20 05:00:00,12,13,13,18844,13937,200,15,102.04656141996384,0
2022-10-20 05:00:00,2022-10-20 06:00:00,12,18,20,18668,13786,200,20,108.27466996014118,0
2022-10-20 06:00:00,2022-10-20 07:00:00,12,16,17,18466,13672,200,19,115.09989561140537,0
2022-10-20 07:00:00,2022-10-20 08:00:00,12,13,17,18292,13512,200,17,129.0231857895851,0
2022-10-20 08:00:00,2022-10-20 09:00:00,12,12,13,18108,13352,200,13,142.84577530622482,0
2022-10-20 09:00:00,2022-10-20 10:00:00,12,12,13,17911,13199,200,16,153.541726693511,0
2022-10-20 10:00:00,2022-10-20 11:00:00,12,9,12,17706,13050,200,12,158.91742610931396,0
2022-10-20 11:00:00,2022-10-20 12:00:00,12,12,13,17522,12887,200,13,169.48579642176628,0
2022-10-20 12:00:00,2022-10-20 13:00:00,12,15,18,17328,12697,200,20,183.26747919619083,0
2022-10-20 13:00:00,2022-10-20 14:00:00,12,15,15,17122,12480,200,18,198.67277885973454,0
2022-10-20 14:00:00,2022-10-20 15:00:00,12,8,8,16896,12241,200,9,215.59823924303055,0
2022-10-20 15:00:00,2022-10-20 16:00:00,12,9,10,16658,11937,200,10,222.87583553791046,0
2022-10-20 16:00:00,2022-10-20 17:00:00,12,12,13,16363,11611,200,13,239.54259084165096,0
2022-10-20 17:00:00,2022-10-20 18:00:00,12,11,11,16051,11217,200,12,254.05947881937027,0
2022-10-20 18:00:00,2022-10-20 19:00:00,12,11,14,15710,10900,200,14,278.25812315940857,0
2022-10-20 19:00:00,2022-10-20 20:00:00,12,16,14,15542,10702,200,17,279.2119068801403,0
2022-10-20 20:00:00,2022-10-20 21:00:00,12,14,18,15450,10593,200,21,286.7404347360134,0
2022-10-20 21:00:00,2022-10-20 22:00:00,12,12,12,15336,10497,200,13,318.8540598154068,0
2022-10-20 22:00:00,2022-10-20 23:00:00,12,14,13,15199,10399,200,18,321.3292596936226,0
2022-10-20 23:00:00,2022-10-21 00:00:00,12,13,15,15049,10249,200,17,339.6000463962555,0
2022-10-21 00:00:00,2022-10-21 01:00:00,12,11,15,14877,10127,200,17,345.21710953116417,0
2022-10-21 01:00:00,2022-10-21 02:00:00,12,6,7,14716,9976,200,8,359.76318979263306,0
2022-10-21 02:00:00,2022-10-21 03:00:00,12,13,17,14556,9815,200,21,363.05601048469543,0
2022-10-21 03:00:00,2022-10-21 04:00:00,12,9,15,14381,9647,200,16,382.793261885643,0
2022-10-21 04:00:00,2022-10-21 05:00:00,12,14,18,14208,9478,200,21,407.7505050301552,0
2022-10-21 05:00:00,2022-10-21 06:00:00,12,14,26,14052,9353,200,28,412.0426614880562,0
2022-10-21 06:00:00,2022-10-21 07:00:00,12,22,27,13873,9218,200,36,402.8195170164108,0
2022-10-21 07:00:00,2022-10-21 08:00:00,12,16,28,13681,9125,200,31,446.7767189145088,0
2022-10-21 08:00:00,2022-10-21 09:00:00,12,13,22,13496,8989,200,25,473.38890141248703,0
2022-10-21 09:00:00,2022-10-21 10:00:00,12,11,18,13298,8815,200,21,499.85905170440674,0
2022-10-21 10:00:00,2022-10-21 11:00:00,12,7,12,13103,8631,200,14,509.3427015542984,0
2022-10-21 11:00:00,2022-10-21 12:00:00,12,11,17,12908,8438,200,18,517.112898170948,0
2022-10-21 12:00:00,2022-10-21 13:00:00,12,9,17,12689,8265,200,17,517.4458444714546,0
2022-10-21 13:00:00,2022-10-21 14:00:00,12,10,16,12486,8056,200,16,558.2411199212074,0
2022-10-21 14:00:00,2022-10-21 15:00:00,12,14,17,12290,7841,200,19,568.3662829101086,0
2022-10-21 15:00:00,2022-10-21 16:00:00,12,7,10,12055,7611,200,10,596.7521436214447,0
2022-10-21 16:00:00,2022-10-21 17:00:00,12,4,8,11828,7364,200,8,610.1807940006256,0
2022-10-21 17:00:00,2022-10-21 18:00:00,12,3,4,11525,7067,200,4,616.8286610245705,0
2022-10-21 18:00:00,2022-10-21 19:00:00,12,3,6,11287,6821,200,6,638.1240096092224,0
2022-10-21 19:00:00,2022-10-21 20:00:00,12,7,9,11052,6599,200,10,638.9135162830353,0
2022-10-21 20:00:00,2022-10-21 21:00:00,12,10,10,10866,6412,200,11,627.1874817609787,0
2022-10-21 21:00:00,2022-10-21 22:00:00,12,15,16,10733,6235,200,22,660.6616575717926,0
2022-10-21 22:00:00,2022-10-21 23:00:00,12,10,10,10606,6056,200,15,654.9379166960716,0
2022-10-21 23:00:00,2022-10-22 00:00:00,12,17,18,10550,5926,200,25,639.2827874869108,0
2022-10-22 00:00:00,2022-10-22 01:00:00,12,17,19,10450,5803,200,23,649.3512173295021,0
2022-10-22 01:00:00,2022-10-22 02:00:00,12,17,26,10329,5734,200,29,544.2697060108185,0
2022-10-22 02:00:00,2022-10-22 03:00:00,12,19,19,10193,5598,200,26,682.8143702149391,0
2022-10-22 03:00:00,2022-10-22 04:00:00,12,13,14,10012,5449,200,17,703.6665904819965,0
2022-10-22 04:00:00,2022-10-22 05:00:00,12,13,15,9836,5323,200,19,715.0837478637695,0
2022-10-22 05:00:00,2022-10-22 06:00:00,12,14,15,9664,5176,200,20,720.7186223864555,0
2022-10-22 06:00:00,2022-10-22 07:00:00,12,7,13,9467,5031,200,14,741.4180088043213,0
2022-10-22 07:00:00,2022-10-22 08:00:00,12,6,9,9277,4855,200,9,763.0865696668625,0
2022-10-22 08:00:00,2022-10-22 09:00:00,12,8,16,9082,4690,200,18,768.4502518177032,0
2022-10-22 09:00:00,2022-10-22 10:00:00,12,6,10,8892,4516,200,11,801.59592461586,0
2022-10-22 10:00:00,2022-10-22 11:00:00,12,7,9,8702,4324,200,13,811.9173421859741,0
2022-10-22 11:00:00,2022-10-22 12:00:00,12,10,11,8506,4134,200,16,827.8913410902023,0
2022-10-22 12:00:00,2022-10-22 13:00:00,12,8,8,8310,3946,200,14,879.755078792572,0
2022-10-22 13:00:00,2022-10-22 14:00:00,12,6,10,8114,3756,200,14,919.7502045631409,0
2022-10-22 14:00:00,2022-10-22 15:00:00,12,10,8,7909,3549,200,13,961.4130880236626,0
2022-10-22 15:00:00,2022-10-22 16:00:00,12,5,9,7687,3346,200,10,974.9553047418594,0
2022-10-22 16:00:00,2022-10-22 17:00:00,12,6,6,7465,3139,200,8,984.2092351913452,0
2022-10-22 17:00:00,2022-10-22 18:00:00,12,8,8,7238,2924,200,12,1034.6774272918701,0
2022-10-22 18:00:00,2022-10-22 19:00:00,12,9,9,7004,2709,200,13,1077.8065359592438,0
2022-10-22 19:00:00,2022-10-22 20:00:00,12,6,10,6790,2493,200,12,1095.2665130496025,0
2022-10-22 20:00:00,2022-10-22 21:00:00,12,8,12,6576,2301,200,16,1153.6013675928116,0
2022-10-22 21:00:00,2022-10-22 22:00:00,12,10,13,6395,2093,200,17,1227.331978738308,0
2022-10-22 22:00:00,2022-10-22 23:00:00,12,8,10,6222,1909,200,13,1259.5590175390244,0
2022-10-22 23:00:00,2022-10-23 00:00:00,12,15,20,6097,1754,200,27,1225.5972480773926,0
2022-10-23 00:00:00,2022-10-23 01:00:00,12,14,18,5923,1597,200,21,1260.2347175478935,0
2022-10-23 01:00:00,2022-10-23 02:00:00,12,11,18,5760,1425,200,22,1322.4924664497375,0
2022-10-23 02:00:00,2022-10-23 03:00:00,12,12,12,5591,1238,200,18,1332.6457064151764,0
2022-10-23 03:00:00,2022-10-23 04:00:00,12,13,24,5420,1080,200,27,1300.1275438666344,0
2022-10-23 04:00:00,2022-10-23 05:00:00,12,10,20,5242,909,200,25,1350.4807826578617,0
2022-10-23 05:00:00,2022-10-23 06:00:00,12,3,18,5047,727,200,18,1613.0822999477386,0
2022-10-23 06:00:00,2022-10-23 07:00:00,12,9,15,4860,541,200,18,1678.3874772787094,0
2022-10-23 07:00:00,2022-10-23 08:00:00,12,14,18,4670,357,200,27,1812.2279579639435,0
2022-10-23 08:00:00,2022-10-23 09:00:00,12,12,19,4473,180,180,26,1807.1495119333267,0
2022-10-23 09:00:00,2022-10-23 10:00:00,12,7,7,4292,12,12,9,56.425517439842224,0
2022-10-23 10:00:00,2022-10-23 11:00:00,12,3,5,4292,5,5,5,29.985194444656372,0
2022-10-23 11:00:00,2022-10-23 12:00:00,12,5,6,4283,6,6,6,39.28966987133026,0
2022-10-23 12:00:00,2022-10-23 13:00:00,12,3,3,4267,3,3,3,9.135798811912537,0
2022-10-23 13:00:00,2022-10-23 14:00:00,12,5,6,4258,6,6,6,22.54400396347046,0
2022-10-23 14:00:00,2022-10-23 15:00:00,12,1,2,4227,2,2,2,10.953223705291748,0
2022-10-23 15:00:00,2022-10-23 16:00:00,12,0,0,4215,0,0,0,0.0,0
2022-10-23 16:00:00,2022-10-23 17:00:00,12,0,0,4201,0,0,0,0.0,0
2022-10-23 17:00:00,2022-10-23 18:00:00,12,3,3,4194,3,3,3,8.722566604614258,0
2022-10-23 18:00:00,2022-10-23 19:00:00,12,3,2,4182,3,3,3,19.06462526321411,0
2022-10-23 19:00:00,2022-10-23 20:00:00,12,15,10,4214,28,28,20,141.63608348369598,0
2022-10-23 20:00:00,2022-10-23 21:00:00,12,17,15,4259,66,66,25,336.31579154729843,0
2022-10-23 21:00:00,2022-10-23 22:00:00,12,11,24,4258,61,61,26,357.31246745586395,0
2022-10-23 22:00:00,2022-10-23 23:00:00,12,8,20,4248,47,47,23,232.58547723293304,0
2022-10-23 23:00:00,2022-10-24 00:00:00,12,9,11,4220,26,26,14,122.00547122955322,0
2022-10-24 00:00:00,2022-10-24 01:00:00,12,8,9,4207,14,14,11,67.3056972026825,0
2022-10-24 01:00:00,2022-10-24 02:00:00,12,8,8,4218,13,13,9,43.27759575843811,0
2022-10-24 02:00:00,2022-10-24 03:00:00,12,5,6,4220,8,8,7,38.56416606903076,0
2022-10-24 03:00:00,2022-10-24 04:00:00,12,8,11,4229,13,13,12,45.04879117012024,0
2022-10-24 04:00:00,2022-10-24 05:00:00,12,8,10,4243,17,17,13,62.41362810134888,0
2022-10-24 05:00:00,2022-10-24 06:00:00,12,8,7,4258,20,20,10,40.30640718340874,0
2022-10-24 06:00:00,2022-10-24 07:00:00,12,9,14,4276,25,25,16,71.6489589214325,0
2022-10-24 07:00:00,2022-10-24 08:00:00,12,7,10,4296,14,14,12,35.06752169132233,0
2022-10-24 08:00:00,2022-10-24 09:00:00,12,7,9,4304,16,16,11,30.233831018209457,0
2022-10-24 09:00:00,2022-10-24 10:00:00,12,5,6,4299,10,10,8,35.46637588739395,0
2022-10-24 10:00:00,2022-10-24 11:00:00,12,4,6,4310,6,6,6,32.069581747055054,0
2022-10-24 11:00:00,2022-10-24 12:00:00,12,1,1,4301,1,1,1,2.128849983215332,0
2022-10-24 12:00:00,2022-10-24 13:00:00,12,1,1,4306,1,1,1,2.2888989448547363,0
2022-10-24 13:00:00,2022-10-24 14:00:00,12,3,3,4309,4,4,3,17.08305597305298,0
2022-10-24 14:00:00,2022-10-24 15:00:00,12,0,0,4297,0,0,0,0.0,0
2022-10-24 15:00:00,2022-10-24 16:00:00,12,0,0,4281,0,0,0,0.0,0
2022-10-24 16:00:00,2022-10-24 17:00:00,12,0,0,4257,0,0,0,0.0,0
2022-10-24 17:00:00,2022-10-24 18:00:00,12,2,3,4199,5,5,3,19.668147325515747,0
2022-10-24 18:00:00,2022-10-24 19:00:00,12,5,3,4186,9,9,6,22.071149110794067,0
2022-10-24 19:00:00,2022-10-24 20:00:00,12,3,3,4223,4,4,4,5.436853587627411,0
2022-10-24 20:00:00,2022-10-24 21:00:00,12,13,14,4417,53,53,23,208.79604238271713,0
2022-10-24 21:00:00,2022-10-24 22:00:00,12,19,28,4398,75,75,37,322.8956706523895,0
2022-10-24 22:00:00,2022-10-24 23:00:00,12,13,19,4346,46,46,25,178.8447523713112,0
2022-10-24 23:00:00,2022-10-25 00:00:00,12,10,13,4322,18,18,16,86.08401203155518,0
2022-10-25 00:00:00,2022-10-25 01:00:00,12,6,10,4337,24,24,13,89.46350336074829,0
2022-10-25 01:00:00,2022-10-25 02:00:00,12,8,9,4335,18,18,13,62.892380237579346,0
2022-10-25 02:00:00,2022-10-25 03:00:00,12,6,8,4322,10,10,9,31.640273690223694,0
2022-10-25 03:00:00,2022-10-25 04:00:00,12,7,7,4316,23,23,10,121.93503141403198,0
2022-10-25 04:00:00,2022-10-25 05:00:00,12,8,9,4329,15,15,10,34.93198752403259,0
2022-10-25 05:00:00,2022-10-25 06:00:00,12,9,9,4361,39,39,15,94.97494685649872,0
2022-10-25 06:00:00,2022-10-25 07:00:00,12,9,16,4375,29,29,16,96.4747941493988,0
2022-10-25 07:00:00,2022-10-25 08:00:00,12,12,19,4369,42,42,22,150.62447130680084,0
2022-10-25 08:00:00,2022-10-25 09:00:00,12,9,17,4365,29,29,19,176.80094015598297,0
2022-10-25 09:00:00,2022-10-25 10:00:00,12,8,12,4365,23,23,14,121.82569777965546,0
2022-10-25 10:00:00,2022-10-25 11:00:00,12,8,8,4347,14,14,12,64.11442291736603,0
2022-10-25 11:00:00,2022-10-25 12:00:00,12,5,9,4334,14,14,10,87.60548520088196,0
2022-10-25 12:00:00,2022-10-25 13:00:00,12,6,8,4317,13,13,8,56.49842917919159,0
