decision_ts,next_ts,effective_horizon,receiver_station_count,donor_station_count,requested_inbound_bikes,requested_outbound_bikes,matched_bikes,transfer_action_count,bike_km,infeasible_station_count
2022-10-19 15:00:00,2022-10-19 16:00:00,12,21,23,20958,16202,200,33,581.9094915986061,0
2022-10-19 16:00:00,2022-10-19 17:00:00,12,22,21,20598,15761,200,36,582.219344496727,0
2022-10-19 17:00:00,2022-10-19 18:00:00,12,23,24,20154,15319,200,36,623.9377686977386,0
2022-10-19 18:00:00,2022-10-19 19:00:00,12,22,22,19755,14936,200,33,610.7404094934464,0
2022-10-19 19:00:00,2022-10-19 20:00:00,12,21,22,19577,14686,195,32,596.0963188409805,0
2022-10-19 20:00:00,2022-10-19 21:00:00,12,22,21,19789,14824,200,30,525.6450240015984,0
2022-10-19 21:00:00,2022-10-19 22:00:00,12,22,21,19820,15033,200,30,494.10191905498505,0
2022-10-19 22:00:00,2022-10-19 23:00:00,12,22,22,19750,14913,200,34,500.3307337164879,0
2022-10-19 23:00:00,2022-10-20 00:00:00,12,22,22,19635,14745,193,35,450.57341635227203,0
2022-10-20 00:00:00,2022-10-20 01:00:00,12,23,24,19503,14584,195,34,460.05588153004646,0
2022-10-20 01:00:00,2022-10-20 02:00:00,12,22,20,19359,14401,190,35,450.1151835024357,0
2022-10-20 02:00:00,2022-10-20 03:00:00,12,24,22,19204,14261,190,34,518.4191379547119,0
2022-10-20 03:00:00,2022-10-20 04:00:00,12,22,24,19041,14110,190,37,533.4474523663521,0
2022-10-20 04:00:00,2022-10-20 05:00:00,12,25,26,18878,13928,190,45,546.0326932668686,0
2022-10-20 05:00:00,2022-10-20 06:00:00,12,26,27,18705,13771,189,46,527.1543535888195,0
2022-10-20 06:00:00,2022-10-20 07:00:00,12,21,27,18512,13604,183,43,514.0945022106171,0
2022-10-20 07:00:00,2022-10-20 08:00:00,12,22,26,18343,13428,187,43,468.95016223192215,0
